GR,SP,CALX,RHOB,NPSS,ILD,ILM,SFL,DT,Binned_FZI_PS
61.04,-52.18,203.745,2358.42,0.242,10.517,8.798,13.498,317.022,5
84.356,-42.15,203.75,2368,0.263,6.158,6.52,10.89,325.993,2
90.6,-39.32,203.7,2425.8,0.291,2.572,2.835,9.823,326.358,6
60.135,-37.445,249.937,1958.7,0.397,5.479,5.694,5.227,305.471,2
51.435,-41.9,296.55,2220.1,0.315,6.574,7.315,7.356,265.699,1
50.955,-48.19,227.987,2344.45,0.264,7.909,8.864,9.402,261.762,2
47.325,-57.98,201.5,2571.5,0.203,12.073,13.888,18.734,220.872,2
47.977,-59.97,200.575,2636.7,0.198,14.264,16.078,27.812,225.316,1
48.63,-65.46,200.475,2558.7,0.223,16.513,19.348,32.857,241.398,2
51.75,-73.79,201.7,2414.6,0.245,18.426,20.827,22.482,265.814,2
49.815,-74.73,202.7,2390.4,0.252,19.153,20.372,20.731,272.66,3
44.865,-73.61,203.525,2334.7,0.27,18.768,20.372,19.653,275.83,6
47.085,-67.71,203.225,2307.9,0.261,16.976,19.401,25.178,274.611,4
93.592,-49.44,200.45,2499.4,0.272,14.277,15.185,20.846,287.442,1
101.655,-42.28,203.725,2414.8,0.341,11.968,12.78,15.352,277.917,2
100.2,-47.58,204.45,2398.9,0.321,12.219,12.654,16.182,300.783,2
126.997,-45.3,201.9,2415.9,0.326,7.904,7.955,13.41,314.998,2
137.625,-34.74,224.625,2344.8,0.339,4.506,4.663,4.565,322.13,4
54.45,-6.95,234.5,2166.206,0.534,1.388,1.534,1.822,396.356,3
54.045,-12.42,228,2475.119,0.369,2.986,3.311,2.474,259.012,3
55.5,-15.5,228.125,2504.712,0.284,4.106,4.789,4.688,264.305,3
68.745,-21.46,230.125,2485.368,0.264,10.87,10.642,13.609,267.168,1
60.39,-23.455,229.75,2466.938,0.285,14.521,13.772,15.699,269.315,3
57.705,-25.21,229.75,2459.201,0.295,15.256,15.13,15.989,271.309,4
63.037,-26.595,228.937,2461.827,0.294,15.067,15.786,16.324,272.544,3
67.522,-28.61,228.563,2473.238,0.295,15.271,16.281,16.85,273.366,3
67.125,-32.25,226.25,2457.831,0.29,15.368,16.227,17.743,277.064,4
64.62,-37.75,229,2422.206,0.3,16.167,16.929,17.99,285.891,3
66.712,-39.5,227.875,2410.385,0.297,17.835,18.258,21.314,291.646,4
71.31,-39,227.875,2402.379,0.302,18.43,18.589,21.729,293.319,4
62.925,-38,228.5,2378.549,0.297,19.065,19.312,21.47,295.83,5
54.195,-37.845,228.563,2370.684,0.295,19.9,19.268,21.93,297.688,4
52.912,-38.735,227.625,2363.007,0.294,20.102,19.785,22.133,298.852,4
54.87,-40,226.5,2350.769,0.292,20.541,20.222,23.347,300.595,3
55.26,-41.895,226.25,2351.905,0.309,20.26,20.102,23.338,302.342,4
55.185,-42.79,226.25,2353.187,0.316,20.129,19.945,22.585,302.927,5
52.477,-44.29,226.938,2350.951,0.304,20.102,19.527,21.702,304.737,3
46.5,-46.07,227,2323.769,0.298,20.092,19.082,19.241,306.52,3
44.205,-45.32,227,2310.014,0.323,20.092,19.707,19.671,304.468,4
41.34,-44.57,226.875,2318.879,0.323,19.726,20.334,20.885,302.412,3
39.802,-42.945,221.563,2338.646,0.314,19.654,20.157,24.09,302.309,6
42.382,-42.805,225.938,2342.354,0.306,19.074,18.942,20.048,303.003,5
41.962,-43.04,224.938,2336.363,0.317,18.951,19.206,19.632,303.148,4
41.82,-42.68,225.25,2339.345,0.323,19.119,19.719,20.869,302.068,4
41.43,-42.32,225.25,2345.732,0.324,19.348,20.055,21.609,300.961,3
42.307,-40.57,224.625,2353.946,0.322,19.241,21.023,24.036,299.853,4
43.185,-38.82,224,2362.161,0.319,19.135,21.99,26.462,298.746,4
43.215,-38.195,223.5,2369.435,0.315,19.074,21.592,27.253,297.406,4
46.162,-36.82,225.125,2382.411,0.304,19.189,20.551,26.88,294.493,6
54.112,-34.43,227.75,2384.708,0.318,18.87,19.321,21.698,291.349,4
64.98,-24.77,229.188,2556.308,0.326,13.509,14.853,16.768,309.535,4
51.405,-66.375,212.1,2395.585,0.262,17.332,18.305,20.951,255.298,3
56.145,-64.86,212.1,2394.97,0.26,16.086,16.785,18.41,254.73,3
56.962,-63.72,212.1,2402.66,0.26,15.383,16.182,17.275,253.2,3
58.98,-56.72,212.1,2425.57,0.271,13.572,13.824,17.858,250.14,2
60.96,-51.02,212.1,2436.545,0.28,13.147,12.82,14.348,259.68,3
52.8,-53,212.1,2420.775,0.245,14.312,14.51,19.793,260.703,3
54.225,-61.76,212.1,2401.46,0.276,14.396,13.786,17.086,270.08,3
62.085,-71.125,212.1,2401.8,0.267,15.022,13.49,14.39,262.335,3
46.215,-71.57,212.1,2268.855,0.261,27.437,26.442,30.558,256.4,5
31.995,-65.085,212.1,2302.025,0.259,42.688,40.926,78.435,280.706,4
32.835,-63.57,212.1,2343.44,0.254,58.861,46.928,70.963,291.185,4
33.9,-63.11,212.1,2253.5,0.254,67.959,49.577,62.771,285.892,5
31.702,-62.72,212.1,2158.7,0.275,77.523,62.32,68.712,287.996,6
32.31,-62.47,212.1,2136.24,0.306,78.168,71.225,82.991,306.855,5
32.01,-61.44,212.1,2302.97,0.27,59.297,51.266,77.881,302.457,4
28.635,-58.79,212.1,2241.43,0.246,45.86,38.604,45.607,274.245,3
27.772,-57.69,212.1,2214.8,0.291,50.843,47.101,92.604,288.542,6
26.43,-57.19,212.1,2205.29,0.3,55.085,53.435,142.374,294.154,4
21.795,-55.33,212.1,2177.715,0.304,83.539,69.974,145.907,300.193,6
20.88,-53.94,212.1,2159.81,0.314,103.908,83.426,110.382,309.389,6
23.805,-53.44,212.1,2153.88,0.316,107.209,87.303,112.365,314.521,6
31.252,-52.91,212.1,2202.46,0.302,84.846,89.997,96.879,315.651,6
35.775,-52.55,212.1,2232.84,0.296,75.202,80.808,89.935,309.553,6
56.865,-47.705,212.1,2432.82,0.299,36.462,32.941,40.087,277.952,4
69.022,-44.47,212.1,2449.24,0.3,27.154,23.433,25.718,271.615,3
65.745,-38.69,212.1,2434.48,0.295,19.707,17.07,16.727,275.828,4
64.905,-37.94,212.1,2438.59,0.291,17.662,15.64,14.744,280.041,4
65.872,-38.94,212.1,2442.7,0.287,16.078,14.677,14.853,281.402,4
69.24,-36.97,212.1,2440.33,0.296,14.238,13.361,15.045,280.306,4
63.862,-36,212.1,2428.63,0.281,14.224,13.057,14.068,281.16,4
64.522,-35.75,212.1,2420.83,0.296,14.068,13.324,13.849,278.099,4
66.9,-35.75,212.1,2415.1,0.296,14.277,13.484,13.952,281.664,3
71.31,-35.5,213.112,2404.285,0.295,14.651,13.805,14.693,281.987,3
70.8,-35.395,214.125,2384.535,0.304,15.262,14.337,15.032,283.276,3
60.255,-36.04,214.125,2356.37,0.295,16.347,15.454,15.625,286.951,4
55.005,-36.82,214.125,2343.97,0.284,17.164,16.137,17.858,285.01,3
51.435,-36.695,214.125,2329.515,0.295,18.385,17.632,19.954,290.184,4
50.52,-36.415,214.125,2332.05,0.296,18.648,18.157,19.826,290.82,4
54.217,-35.82,214.125,2335.53,0.287,19.135,17.759,20.827,291.533,4
51.352,-34.82,214.125,2322.47,0.298,18.717,17.532,17.71,297.226,4
53.287,-35.5,216.125,2317.8,0.294,18.324,17.597,18.477,295.282,4
55.74,-35.5,216.125,2316.86,0.301,18.443,17.228,20,297.118,4
56.745,-34.25,216.125,2324.625,0.302,17.842,17.284,18.926,301.148,4
59.865,-33.75,216.125,2333.495,0.299,17.492,16.908,18.891,300.864,4
80.43,-33.5,216.125,2345.72,0.297,16.913,16.137,18.631,295.669,3
88.365,-32.75,216.125,2349.43,0.3,16.929,15.683,17.371,290.061,4
84.375,-32.35,216.125,2341.47,0.3,16.452,15.916,16.088,291.46,4
68.055,-32.46,216.125,2336.695,0.291,16.177,15.85,18.072,292.613,4
68.43,-31.805,216.125,2333.08,0.284,15.543,15.397,18.456,293.58,4
69.24,-30.545,216.125,2330.4,0.283,14.931,14.659,16.971,295.514,4
80.055,-23.84,216.125,2331.52,0.322,11.991,11.311,10.938,304.64,4
72.99,-25.35,216.125,2322.21,0.341,11.103,10.785,11.441,308.99,3
68.28,-25.3,216.125,2333.35,0.317,10.701,10.691,12.83,306.341,4
71.31,-23.82,216.125,2337.6,0.341,10.163,10.324,12.866,313.917,4
59.109,-65.941,198.02,2439.1,0.307,10.419,11.259,11.73,278.964,1
57.03,-70.7,195.545,2433.1,0.302,10.757,11.466,12.909,277.248,1
51.98,-73.6,198.762,2427.1,0.294,11.055,11.892,15.563,277.777,1
45.297,-82.079,198.267,2421.1,0.29,11.414,12.39,16.741,285.565,6
42,-84.257,196.287,2377.9,0.304,12.111,12.792,14.402,295.113,3
40.5,-84.95,194.554,2329.9,0.316,12.909,13.636,15.85,304.309,3
38.25,-85.941,193.564,2265.4,0.318,14.142,14.938,22.754,311.177,4
38.25,-86.733,193.069,2283.6,0.316,15.074,15.922,26.859,309.676,5
40.484,-88.416,191.572,2292.6,0.318,16.447,17.059,26.988,308.413,4
39.865,-89.505,189.566,2281.8,0.324,17.15,17.386,26.022,310.777,3
39.954,-91.683,192.004,2298.9,0.334,19.453,17.828,26.769,315.026,1
40.248,-92.079,192.239,2293.2,0.329,19.908,17.832,26.893,316.32,2
42.178,-90.594,192.953,2280.6,0.321,20.742,18.584,26.649,320.26,2
46.5,-87.822,193.913,2268,0.317,21.512,19.457,28.018,312.051,1
50.25,-86.04,193.896,2261.7,0.313,22.008,19.908,30,301.195,3
53.55,-83.168,193.131,2257.4,0.309,22.413,20.275,32.287,299.499,3
63.861,-73.4,195.802,2338.6,0.308,22.413,21.415,38.396,294.562,3
65.644,-69.406,194.059,2395.3,0.314,22.209,20.837,36.012,293.052,1
64.752,-68.911,194.307,2386.2,0.317,21.908,20.091,31.981,294.533,3
63.713,-69.109,194.307,2376,0.321,20.932,19.368,27.387,296.013,2
61.337,-73.2,194.059,2345.4,0.332,18.584,17.507,18.928,304.257,2
55.65,-77.3,194.059,2314.8,0.328,16.799,15.753,16.954,313.907,1
56.7,-75.3,192.327,2294.4,0.317,15.753,14.84,16.722,305.345,4
63.416,-67.624,195.297,2308.2,0.315,15.115,14.305,19.279,293.086,4
72.624,-60.495,196.04,2362.8,0.309,14.977,13.981,23.564,286.593,3
80.05,-56.634,197.03,2417.4,0.307,14.84,13.664,28.926,283.218,3
79.307,-52.574,197.277,2499.3,0.322,13.79,13.539,19.368,279.866,3
73.663,-53.366,196.287,2491.1,0.326,12.813,13.539,14.305,279.23,3
64.307,-62.772,196.287,2455.7,0.332,12.238,13.477,14.57,281.56,3
54,-74,196.287,2420.3,0.338,12.696,13.477,13.664,287.501,2
45.75,-80.693,193.812,2384.9,0.334,12.696,13.415,10.911,295.287,3
45.75,-82.277,193.808,2349.5,0.325,12.696,13.415,12.58,303.337,4
52.35,-83.465,193.293,2225,0.33,12.931,13.664,21.808,314.172,3
58.2,-85.05,193.529,2336.7,0.338,13.051,13.79,23.78,305.333,2
62.822,-85.941,192.02,2364.1,0.349,13.231,13.981,20.837,299.864,2
66.089,-83.96,194.003,2376.8,0.349,13.415,14.175,20.648,296.431,1
68.158,-81.485,193.47,2371.6,0.341,13.409,14.17,21.028,298.836,1
80.495,-73.9,192.171,2363,0.328,13.398,14.16,22.311,296.738,1
102.624,-64.059,193.36,2404,0.308,13.204,14.085,22.413,286.709,1
124.019,-52.97,197.03,2449.6,0.307,11.975,12.834,18.921,283.177,1
135.929,-46.634,197.03,2480,0.327,11.121,11.975,15.087,285.385,1
146.816,-39.208,197.03,2484,0.358,10.093,10.817,12.142,293.542,2
124.152,-32.673,198.267,2461.2,0.404,8.838,9.465,9.954,303.774,1
91.337,-29.118,198.02,2447.2,0.466,7.466,8,9.909,312.98,2
31.634,-17.504,201.983,2429.5,0.485,2.592,2.862,2.473,255.499,2
35.198,-23.577,200.497,2405.5,0.35,3.307,3.981,5.094,256.171,2
38.317,-26.564,200.497,2387.129,0.313,3.926,4.59,6.967,258.67,4
41.436,-29.558,200.498,2387.129,0.28,4.86,5.388,9.552,252.844,4
47.1,-31.58,200.75,2567,0.211,10.047,9.465,12.72,221.097,2
48.6,-40.9,201.98,2499,0.231,14.109,16.407,18.114,248.477,1
45.15,-50.7,198.25,2448.5,0.261,13.333,15.214,19.719,279.882,3
39.95,-55.9,198.25,2366.832,0.275,12.961,14.651,25.298,290.658,3
40.248,-57.7,198.25,2335,0.288,12.54,13.976,26.369,293.232,4
42.475,-56.7,198.25,2378.713,0.303,12.076,13.396,21.931,288.542,4
42.178,-54.4,198.25,2418.5,0.313,11.794,12.659,18.114,285.497,2
45.9,-53,198.25,2433.5,0.318,11.629,12.422,15.949,286.64,3
49.05,-50.5,195.5,2402.5,0.334,11.251,11.962,12.54,309.82,3
39.95,-77,199.253,2334,0.325,10.835,11.411,16.176,317.908,3
38.762,-71.3,199.254,2319,0.333,11.041,11.52,17.526,324.901,1
36.386,-67.822,199.256,2332,0.342,11.411,12.019,18.722,319.721,3
38.762,-64.257,199.257,2375.743,0.332,11.794,12.599,19.26,306.757,3
42.037,-61.981,199.505,2397.525,0.333,11.962,12.9,19.351,300.061,3
44.576,-59.6,200,2412,0.344,11.962,13.145,20.185,291.869,3
48.48,-56.1,200.5,2434,0.342,11.962,13.459,21.431,283.677,4
95.25,-26.238,215.25,2430.5,0.338,8.038,9.041,8,303.537,2
98.85,-24.356,226.485,2392.079,0.344,6.557,7.101,7.555,306.627,2
126.9,-22.079,244.802,2394.554,0.357,5.834,6.346,6.807,304.465,2
88.05,-20.594,237.871,2398.515,0.382,5.439,5.944,6,324.013,2
73.96,-19.7,255.5,2296,0.382,5.094,5.516,5.753,309.575,2
73.663,-19.7,251.25,2301,0.387,5.047,5.439,5.861,319.928,2
73.366,-19.8,248.515,2398.515,0.391,4.976,5.363,6,323.538,3
72.643,-19.7,279.95,2420.5,0.399,4.612,5.094,5.142,311.67,2
74.515,-18.908,275,2346.5,0.407,4.419,4.678,5.289,326.487,2
74.7,-19.604,285.444,2318.5,0.42,4.221,4.509,4.838,323.739,1
74.242,-17.1,253.75,2344,0.451,2.911,3.3,4.029,335.815,2
74.394,-16.6,275.248,2296,0.451,2.822,3.155,3.305,338.214,3
76.65,-16.5,246.287,2272.5,0.448,2.759,3.028,3.172,344.586,3
78,-16.6,236.634,2345,0.442,2.695,2.85,2.986,356.444,1
77.85,-16.5,224,2343.5,0.447,2.733,2.877,2.904,354.999,3
78.3,-16.7,235.396,2330,0.459,2.824,2.931,3.056,349.585,2
82.35,-17.4,227.228,2351.485,0.459,2.972,3.231,3.926,346.458,2
80.1,-18.1,236.386,2285,0.436,3.292,3.646,3.496,320.924,3
75.9,-19.7,240.099,2242,0.458,3.578,4,4.39,289.013,3
75.45,-20.99,229.455,2246.5,0.444,3.783,4.249,5.313,283.495,1
