GR,SP,CALX,RHOB,NPSS,ILD,ILM,SFL,DT,Binned_FZI_PS
47.394,18.164,197.365,2471.973,0.255,14.526,14.027,11.852,256.256,1
44.895,19.914,197.98,2481.606,0.245,13.575,13.816,12.582,261.312,1
44.727,19.314,196.9,2474.582,0.245,13.326,13.908,14.579,264.672,2
43.656,19.19,197.03,2458.461,0.23,14.541,15.119,13.732,259.112,2
38.436,14.6,196.225,2418.498,0.214,17.26,18.257,13.952,246.68,2
33.222,12.504,196.485,2400.995,0.208,18.662,20.176,15.256,241.112,1
28.326,10.576,196.55,2374.458,0.194,21.007,23.383,19.66,237.32,3
21.165,8.79,196.495,2339.684,0.176,26.427,30.365,39.072,242.024,5
21.285,7.63,197.035,2311.368,0.19,36.013,39.7,70.34,260.84,5
25.272,6.266,197.31,2305.229,0.22,53.35,52.296,78.112,283.608,5
29.988,5.35,196.9,2271.032,0.242,68.585,60.51,73.898,303.2,2
37.467,4.906,196.205,2208.258,0.237,69.212,56.674,60.501,283.912,4
51.438,3.77,200.17,2282.403,0.206,63.038,46.282,42.009,252.896,4
50.19,2.57,199.975,2337.315,0.207,57.469,43.594,41.061,259.16,2
44.967,1.73,199.625,2319.927,0.231,29.203,27.179,44.898,288.28,3
72.495,-1.656,200.57,2296.402,0.242,21.475,16.615,39.289,288.36,3
63.189,-11.186,200.37,2327.716,0.225,19.686,15.389,14.201,246.752,1
50.931,-16.084,200.3,2380.574,0.207,19.02,17.24,12.903,243.76,2
44.787,-12.276,200.235,2410.378,0.215,19.66,19.836,34.728,265.96,4
30.72,0.77,198.95,2293.072,0.245,33.965,32.198,35.207,272.88,4
27.954,4.912,198.195,2262.527,0.258,50.932,41.382,48.573,284.536,3
24.033,8.722,198.745,2250.849,0.234,58.248,43.266,45.42,291.048,3
24.216,11.478,197.84,2241.788,0.249,57.939,42.111,37.502,296.264,4
47.985,23.222,197.925,2293.383,0.251,30.927,24.32,28.296,274.264,5
44.82,27.28,199.21,2367.604,0.229,22.982,19.884,17.733,275.208,4
49.521,24.68,199.21,2417.951,0.235,18.596,16.927,16.918,280.776,4
57.195,29.03,199.275,2404.199,0.283,15.074,12.925,13.057,289.04,3
44.817,33.93,199.975,2398.587,0.283,14.778,13.545,10.245,288.888,4
37.623,31.386,199.83,2382.707,0.294,14.219,14.303,15.707,289.28,4
45.81,35.538,199.695,2379.156,0.261,14.527,14.222,15.254,284.664,4
58.845,37.938,199.975,2411.511,0.261,14.734,13.575,13.398,283.36,5
85.209,39.55,199.275,2420.268,0.28,13.99,12.854,12.163,285.24,4
107.475,45.638,199.625,2423.391,0.279,13.173,12.403,11.528,289.176,3
55.728,40.888,200.235,2386.762,0.296,11.729,11.676,13.662,296.888,3
44.832,42.38,199.975,2362.892,0.289,12.287,12.332,10.276,300.4,4
35.655,37.552,199.76,2319.4,0.273,14.739,14.198,11.256,292.496,4
49.987,-16.49,193.875,2414,0.3,5.393,6.36,5.72,293.103,2
44.662,-17.02,193.875,2460,0.234,6.377,7.824,8.819,266.068,2
35.392,-22.02,193.875,2514,0.18,8.133,9.502,29.311,248.376,2
25.492,-32.04,192.25,2450,0.212,8.438,7.562,10.267,266.1,2
25.837,-48.29,189.25,2356,0.269,7.933,7.52,5.094,285.79,2
30.127,-55.29,189.25,2328,0.302,7.889,7.831,6.808,306.945,3
33.93,-59.04,189.25,2322,0.286,7.977,8.103,9.406,301.35,1
35.617,-58.41,189.25,2307.9,0.282,9.968,11.32,11.123,294.657,2
35.947,-54.91,189.25,2304,0.284,11.216,13.647,16.182,293.135,4
35.227,-53.66,189.25,2282,0.273,13.009,16.483,30.215,295.476,3
33.352,-53.04,189.25,2266,0.269,14.704,18.24,40.126,305.548,4
32.587,-53.54,189.25,2238,0.28,17.164,19.047,28.723,319.479,5
32.775,-53.615,189.25,2238,0.291,17.047,18.728,25.896,324.399,3
36.84,-53.74,189.25,2236,0.301,16.952,17.842,21.711,333.295,2
50.46,-53.35,189.25,2245,0.301,16.497,16.902,18.142,339.101,4
53.647,-52.91,189.25,2256,0.301,16.019,16.528,15.93,340.931,3
66.24,-51.04,189.25,2282,0.298,15.504,16.914,18.543,339.536,3
127.185,-49.04,189.25,2233.95,0.313,14.844,16.31,20.641,338.963,1
165.87,-46.665,189.25,2187.9,0.339,14.121,15.402,19.476,335.596,3
175.62,-44.915,189.25,2201.95,0.342,13.427,14.556,16.771,326.4,2
84.307,-30.79,189.25,2316,0.304,10.85,10.515,15.185,307.291,4
60.54,-25.79,191.25,2358,0.255,9.485,9.243,11.498,299.268,1
57.382,-20.54,192.5,2372,0.284,8.779,8.532,7.724,306.223,5
83.55,-16.42,191.625,2371.95,0.344,7,6.747,6.794,315.023,2
101.212,-14.55,192.375,2353.9,0.392,6.301,6.062,5.951,319.472,4
51.348,68.916,202.465,2308.41,0.339,2.218,2.636,2.158,375.944,5
53.808,64.08,203.425,2336.48,0.242,3.065,4.139,4.716,266.934,3
52.71,59.36,203.725,2367.44,0.22,5.075,6.653,8.983,262.698,3
55.5,52.948,205.5,2364.58,0.234,10.282,11.443,10.637,263.815,3
48.315,41.888,205.8,2341.86,0.231,12.659,14.367,13.079,268.146,6
48.777,35.602,205.32,2318.475,0.243,13.483,14.444,14.019,273.184,4
52.281,32.918,204.84,2306.395,0.263,14.336,15.413,14.287,276.757,4
53.184,29.852,203.125,2305.98,0.274,15.486,16.114,14.739,280.919,4
50.103,29.222,199.85,2323.05,0.272,15.56,16.025,15.545,277.357,4
50.295,30.662,199.85,2327.985,0.278,15.186,16.131,15.296,276.197,4
48.63,31.12,199.015,2318.58,0.294,14.813,16.362,14.758,278.206,4
45.651,31.378,196.935,2318.065,0.28,15.22,16.58,15.619,280.714,4
40.431,31.294,193.445,2330.83,0.283,14.922,15.657,16.031,281.402,4
43.905,28.56,194.2,2313.505,0.27,14.799,16.635,15.074,285.766,4
41.811,28.666,192.065,2314.32,0.28,14.931,16.709,15.342,284.885,3
49.911,29.15,190.71,2319.45,0.264,14.47,15.329,16.904,285.752,4
51.765,26.65,187.975,2299.38,0.266,14.277,15.64,15.019,290.072,4
51.702,24.044,185.48,2251.03,0.279,14.06,15.184,14.311,295.506,3
