UWI,FM_TOP,DEPTH,GR,SP,CALX,RHOB,DPSS,NPSS,ILD,ILM,SFL,DT,Binned_FZI_PS
100092800505W400,SBRS,1079.0,52.71,59.36,203.73,2367.44,0.17,0.22,5.08,6.65,8.98,262.70,3
100092800505W400,SBRS,1079.4,55.50,52.95,205.50,2364.58,0.17,0.23,10.28,11.44,10.64,263.82,3
100092800505W400,SBRS,1079.8,48.32,41.89,205.80,2341.86,0.18,0.23,12.66,14.37,13.08,268.15,6
100092800505W400,SBRS,1080.1,48.78,35.60,205.32,2318.48,0.19,0.24,13.48,14.44,14.02,273.18,4
100092800505W400,SBRS,1080.3,52.28,32.92,204.84,2306.40,0.20,0.26,14.34,15.41,14.29,276.76,4
100092800505W400,SBRS,1080.6,53.18,29.85,203.13,2305.98,0.21,0.27,15.49,16.11,14.74,280.92,4
100092800505W400,SBRS,1080.9,50.10,29.22,199.85,2323.05,0.20,0.27,15.56,16.03,15.55,277.36,4
100092800505W400,SBRS,1081.1,50.30,30.66,199.85,2327.99,0.19,0.28,15.19,16.13,15.30,276.20,4
100092800505W400,SBRS,1081.4,48.63,31.12,199.02,2318.58,0.19,0.29,14.81,16.36,14.76,278.21,4
100092800505W400,SBRS,1081.7,45.65,31.38,196.94,2318.07,0.20,0.28,15.22,16.58,15.62,280.71,4
100092800505W400,SBRS,1082.1,40.43,31.29,193.45,2330.83,0.19,0.28,14.92,15.66,16.03,281.40,4
100092800505W400,SBRS,1082.5,43.91,28.56,194.20,2313.51,0.20,0.27,14.80,16.64,15.07,285.77,4
100092800505W400,SBRS,1082.9,41.81,28.67,192.07,2314.32,0.21,0.28,14.93,16.71,15.34,284.89,3
100092800505W400,SBRS,1083.3,49.91,29.15,190.71,2319.45,0.19,0.26,14.47,15.33,16.90,285.75,4
100092800505W400,SBRS,1083.5,51.77,26.65,187.98,2299.38,0.23,0.27,14.28,15.64,15.02,290.07,4
100092800505W400,SBRS,1083.7,51.70,24.04,185.48,2251.03,0.27,0.28,14.06,15.18,14.31,295.51,3
100092800505W400,SBRS,1083.9,48.87,22.13,187.85,2198.22,0.28,0.29,13.78,14.71,15.09,300.03,3
100092800505W400,SBRS,1084.1,48.60,20.04,192.85,2233.40,0.25,0.28,13.53,14.23,16.00,300.82,3
100092800505W400,SBRS,1084.4,47.91,17.69,196.24,2301.83,0.21,0.27,13.57,14.48,14.17,297.60,3
100092800505W400,SBRS,1084.7,49.79,19.57,198.56,2288.42,0.22,0.26,13.88,15.26,14.77,297.29,4
100092800505W400,SBRS,1085.0,46.98,24.26,200.45,2346.54,0.20,0.27,13.84,16.09,16.27,293.75,4
100092800505W400,SBRS,1085.3,61.04,30.65,203.31,2381.56,0.15,0.27,13.79,15.80,17.65,288.47,6
100092800505W400,SBRS,1085.7,87.22,40.26,202.83,2343.30,0.19,0.27,13.74,15.03,13.19,290.04,4
100092800505W400,SBRS,1086.0,80.51,42.40,202.53,2325.68,0.19,0.31,13.19,14.26,12.20,299.40,4
100083500505W400,SBRS,1182.2,52.53,71.58,201.73,2395.20,0.16,0.26,13.35,5.92,10.36,298.29,1
100083500505W400,SBRS,1182.5,53.09,75.15,201.48,2359.90,0.19,0.27,13.69,5.66,11.05,298.43,2
100083500505W400,SBRS,1182.7,50.52,77.23,201.48,2325.15,0.20,0.28,13.82,5.19,10.99,300.32,4
100083500505W400,SBRS,1182.9,46.91,78.91,201.48,2304.45,0.21,0.28,13.88,5.02,10.76,305.19,3
100083500505W400,SBRS,1183.1,44.15,80.20,201.48,2289.25,0.22,0.27,14.22,4.41,10.71,311.19,3
100083500505W400,SBRS,1183.3,44.12,81.10,201.48,2284.25,0.22,0.27,15.19,4.75,11.45,314.47,3
100083500505W400,SBRS,1183.6,40.52,82.40,201.48,2271.30,0.24,0.28,16.90,5.00,13.09,319.22,3
100083500505W400,SBRS,1183.7,38.40,82.60,201.48,2249.15,0.25,0.29,16.39,4.84,12.71,324.57,5
100083500505W400,SBRS,1183.9,34.64,82.70,201.48,2210.90,0.28,0.29,15.12,3.62,11.84,332.91,5
100083500505W400,SBRS,1184.1,33.15,82.40,201.48,2196.60,0.28,0.29,13.89,2.91,10.92,336.23,3
100083500505W400,SBRS,1184.3,34.79,82.00,201.48,2203.60,0.27,0.28,13.24,3.10,10.35,330.82,5
100083500505W400,SBRS,1184.6,44.92,80.90,201.48,2236.10,0.24,0.27,12.80,4.09,10.16,312.88,4
100083500505W400,SBRS,1184.8,59.07,78.61,201.63,2306.40,0.19,0.28,12.23,4.82,9.90,301.27,1
100083500505W400,SWFT,1185.1,83.51,73.47,204.98,2369.30,0.17,0.31,10.29,5.73,8.62,300.12,6
100083500505W400,SWFT,1185.5,119.00,69.20,205.45,2388.00,0.16,0.32,7.10,2.51,5.96,323.74,3
100083500505W400,SWFT,1185.8,132.11,67.40,203.88,2386.80,0.16,0.30,6.81,4.15,5.68,322.69,3
100083500505W400,SWFT,1186.1,111.47,66.20,205.28,2374.85,0.17,0.30,6.84,5.19,5.83,319.56,4
100083500505W400,SWFT,1186.3,98.61,65.80,205.29,2374.25,0.16,0.33,6.63,4.20,5.41,320.03,3
100083500505W400,SWFT,1186.5,91.56,65.60,204.74,2384.15,0.16,0.32,6.58,5.61,5.24,320.80,6
100083500505W400,SWFT,1186.8,89.27,65.20,206.43,2373.40,0.17,0.31,6.34,4.95,5.29,326.09,2
100083500505W400,SWFT,1187.0,92.15,65.30,204.98,2372.70,0.17,0.31,5.96,3.69,5.10,328.33,4
100083500505W400,SWFT,1187.2,94.40,65.10,204.40,2372.30,0.16,0.31,5.65,5.09,4.97,330.04,3
100083500505W400,SWFT,1187.4,93.66,64.80,205.40,2386.40,0.16,0.30,5.66,4.49,4.83,327.14,5
100083500505W400,SWFT,1187.8,94.87,64.00,204.53,2368.40,0.17,0.35,5.89,5.76,4.94,322.56,3
100083500505W400,RRDN,1191.9,68.69,63.90,203.89,2959.80,-0.23,0.35,5.26,6.52,4.11,303.54,1
100082100505W400,SBRS,1065.1,58.10,-58.49,215.63,2299.99,0.21,0.26,17.79,18.49,18.64,297.65,3
100082100505W400,SBRS,1065.2,62.75,-57.83,215.63,2299.99,0.21,0.26,17.89,18.48,18.44,297.99,3
100082100505W400,SBRS,1065.3,67.40,-57.00,215.63,2302.57,0.21,0.26,17.74,18.18,18.11,298.45,3
100082100505W400,SBRS,1065.4,69.50,-55.93,215.63,2307.39,0.21,0.26,17.58,17.87,17.78,299.01,3
100082100505W400,SBRS,1065.5,71.60,-54.83,215.63,2318.55,0.21,0.27,17.43,17.66,17.25,297.99,3
100082100505W400,SBRS,1065.6,73.49,-53.68,215.63,2332.40,0.20,0.27,17.28,17.44,16.73,296.11,3
100082100505W400,SBRS,1065.7,75.39,-52.42,215.89,2348.80,0.19,0.27,17.22,17.04,16.23,293.27,3
100082100505W400,SBRS,1066.5,56.90,-52.59,215.76,2398.41,0.15,0.28,17.57,17.54,17.55,296.40,3
100082100505W400,SBRS,1066.7,53.99,-57.78,215.38,2374.57,0.16,0.27,18.23,18.40,19.66,302.32,2
100082100505W400,SBRS,1066.8,53.99,-59.48,215.38,2364.68,0.17,0.27,18.49,18.72,20.32,304.68,2
100082100505W400,SBRS,1066.9,53.99,-60.09,215.50,2357.47,0.17,0.28,18.74,19.05,20.68,306.66,2
100082100505W400,SBRS,1067.0,55.39,-60.41,215.63,2350.77,0.18,0.28,18.98,19.38,21.04,308.06,2
100082100505W400,SBRS,1067.1,56.79,-60.42,215.63,2344.74,0.18,0.28,19.23,19.65,21.08,309.14,2
100082100505W400,SBRS,1067.3,62.69,-60.38,215.63,2339.00,0.19,0.29,19.79,20.26,21.00,309.86,3
100082100505W400,SBRS,1067.4,62.94,-60.16,215.63,2339.58,0.19,0.29,20.11,20.62,20.89,309.40,3
100082100505W400,SBRS,1067.5,63.20,-59.53,215.89,2342.21,0.19,0.29,20.16,20.76,20.68,308.02,3
100082100505W400,SBRS,1067.7,63.09,-57.51,216.65,2349.03,0.18,0.29,20.06,20.91,20.30,304.51,3
100082100505W400,SBRS,1067.9,63.59,-55.44,217.28,2364.70,0.18,0.29,19.79,20.62,20.02,300.28,3
100082100505W400,SBRS,1068.0,64.29,-54.66,217.40,2376.59,0.17,0.29,19.67,20.32,19.91,298.30,2
100082100505W400,SBRS,1069.8,60.40,-45.13,218.43,2391.62,0.15,0.28,16.90,18.27,17.68,299.34,4
100082100505W400,SBRS,1070.2,60.65,-47.90,217.68,2368.83,0.17,0.30,16.74,18.68,18.11,303.82,3
100082100505W400,SBRS,1070.6,57.69,-51.13,219.20,2356.74,0.18,0.29,15.47,19.12,18.58,302.95,3
100082100505W400,SBRS,1070.7,59.39,-51.21,218.44,2369.20,0.18,0.28,15.16,18.65,18.43,301.10,3
100082100505W400,SBRS,1070.8,63.04,-51.07,217.68,2385.32,0.17,0.28,14.85,18.17,18.27,299.08,3
100082100505W400,SBRS,1070.9,66.69,-50.63,217.54,2402.14,0.16,0.28,14.58,17.68,17.72,297.15,2
100082100505W400,SBRS,1071.1,80.60,-48.69,217.40,2421.97,0.14,0.30,13.60,16.10,15.89,296.77,2
100082100505W400,SBRS,1071.3,84.89,-45.40,217.28,2428.95,0.14,0.32,12.57,14.60,14.32,299.12,3
100063000505W400,SBRS,1023.5,21.28,-105.64,193.25,2264.47,0.24,0.20,28.94,31.84,44.92,325.35,2
100063000505W400,SBRS,1023.8,21.02,-107.43,191.75,2261.55,0.25,0.22,24.94,26.56,38.22,326.69,1
100063000505W400,SBRS,1023.9,21.83,-107.92,191.50,2258.25,0.24,0.23,23.73,24.94,34.41,328.04,3
100063000505W400,SBRS,1024.1,23.97,-108.42,191.50,2260.30,0.23,0.24,21.59,22.18,28.81,330.72,4
100063000505W400,SBRS,1024.2,25.29,-108.32,191.75,2265.65,0.24,0.25,20.83,21.02,26.93,332.05,4
100063000505W400,SBRS,1024.4,27.35,-107.03,192.00,2279.71,0.21,0.26,19.54,19.19,25.05,332.79,2
100063000505W400,SBRS,1024.5,28.07,-105.45,192.75,2300.65,0.19,0.26,19.01,18.66,25.39,326.43,4
100063000505W400,SBRS,1024.7,29.59,-100.10,193.75,2342.95,0.17,0.25,18.40,17.82,28.94,311.92,4
100063000505W400,SBRS,1024.9,31.62,-93.21,194.25,2364.36,0.17,0.25,17.65,17.01,34.09,305.09,1
100063000505W400,SBRS,1025.1,34.39,-88.32,194.25,2360.32,0.19,0.25,17.57,16.25,26.56,307.76,1
100063000505W400,SBRS,1025.3,37.91,-82.98,194.50,2357.01,0.17,0.26,18.23,15.95,20.09,310.54,1
100063000505W400,SBRS,1025.5,41.42,-79.01,196.50,2392.08,0.12,0.27,18.58,16.10,15.58,313.43,2
100063000505W400,SBRS,1025.7,44.39,-78.31,198.75,2449.69,0.09,0.30,20.09,17.98,15.09,302.00,5
100063000505W400,SBRS,1025.9,46.40,-81.60,199.50,2479.75,0.09,0.31,22.28,22.18,20.64,280.40,1
100063000505W400,SBRS,1026.3,42.46,-94.26,193.00,2449.74,0.15,0.34,32.80,33.39,61.10,279.89,5
100063000505W400,SBRS,1026.8,29.82,-101.19,190.50,2311.93,0.22,0.30,57.07,48.43,59.46,284.20,4
100063000505W400,SBRS,1027.0,30.39,-102.97,191.25,2297.57,0.24,0.31,57.33,54.28,63.93,291.37,3
100063000505W400,SBRS,1027.2,30.42,-104.36,192.00,2280.30,0.24,0.33,57.82,56.52,69.95,306.95,3
100063000505W400,SBRS,1027.4,29.78,-105.35,192.50,2261.75,0.25,0.32,58.56,57.00,76.48,320.83,3
100063000505W400,SBRS,1027.6,29.46,-106.14,192.50,2245.55,0.24,0.32,58.00,57.48,81.10,308.78,4
100063000505W400,SBRS,1027.8,29.18,-106.83,192.50,2256.53,0.23,0.33,57.18,57.70,81.46,299.36,3
100063000505W400,SBRS,1028.0,27.45,-107.23,192.50,2260.08,0.25,0.33,54.66,55.39,70.02,303.10,3
100063000505W400,SBRS,1028.2,19.80,-107.23,192.75,2200.18,0.26,0.33,49.07,49.97,55.12,311.10,4
100063000505W400,SBRS,1028.4,18.23,-107.03,192.75,2194.21,0.28,0.33,45.40,46.23,48.15,326.34,4
100063000505W400,SBRS,1028.6,16.65,-107.03,192.25,2198.28,0.27,0.32,42.22,42.99,46.62,332.31,4
100063000505W400,SBRS,1028.8,17.60,-107.33,192.50,2226.52,0.26,0.31,39.28,40.00,46.59,331.36,4
100063000505W400,SBRS,1029.1,17.27,-106.84,192.50,2249.90,0.24,0.30,36.33,37.00,43.92,324.97,2
100063000505W400,SBRS,1029.2,17.10,-105.85,192.50,2254.21,0.24,0.30,35.17,35.82,42.56,323.09,4
100063000505W400,SBRS,1029.4,19.02,-103.28,193.75,2261.87,0.23,0.30,33.57,34.51,40.30,323.62,4
100063000505W400,SBRS,1029.5,21.21,-100.50,194.50,2264.27,0.23,0.30,32.21,34.49,38.48,323.40,1
100063000505W400,SBRS,1029.7,26.06,-93.76,195.00,2265.67,0.24,0.29,28.34,34.62,37.24,318.37,4
100063000505W400,SBRS,1029.9,30.87,-87.03,195.00,2263.71,0.20,0.28,24.29,34.43,43.24,290.81,4
100063000505W400,SBRS,1030.1,34.64,-82.38,195.00,2272.31,0.15,0.26,20.09,21.69,56.28,252.53,4
100063000505W400,SBRS,1030.2,36.27,-80.50,195.49,2281.88,0.13,0.26,18.66,19.10,46.91,237.00,4
100063000505W400,SWFT,1030.6,41.13,-72.90,198.24,2470.70,0.09,0.26,14.88,15.16,13.20,235.45,1
100063000505W400,SWFT,1030.9,50.25,-69.80,198.49,2494.53,0.10,0.30,12.26,12.48,11.65,274.03,2
100063000505W400,SWFT,1031.1,53.08,-67.72,197.73,2486.96,0.10,0.31,11.02,11.23,13.88,282.61,3
100063000505W400,SWFT,1031.2,53.93,-66.04,197.48,2480.66,0.10,0.31,10.82,11.02,13.26,285.11,4
100063000505W400,SWFT,1031.6,53.76,-59.11,199.50,2470.38,0.12,0.31,9.95,10.14,10.47,289.29,2
100063000505W400,SWFT,1031.9,61.31,-58.61,200.00,2449.93,0.12,0.33,9.51,10.00,11.23,291.66,4
100063000505W400,SWFT,1032.5,85.65,-55.15,199.75,2426.52,0.14,0.34,9.51,9.91,10.23,300.52,1
100063000505W400,SWFT,1033.4,57.12,-57.13,201.00,2435.58,0.13,0.36,8.50,9.19,10.60,301.76,2
100063000505W400,SWFT,1034.1,62.24,-55.64,201.75,2433.63,0.13,0.38,7.96,8.11,8.92,312.34,2
100063000505W400,SWFT,1034.6,59.88,-54.46,205.25,2409.81,0.14,0.34,7.36,7.50,9.73,306.13,3
100063000505W400,SWFT,1035.2,68.94,-51.78,211.27,2441.66,0.12,0.38,5.78,5.89,6.44,311.52,1
100062500505W400,SBRS,1153.3,36.20,15.71,212.72,2404.23,0.14,0.26,4.56,4.70,5.99,315.57,3
100062500505W400,SBRS,1153.4,35.24,13.20,210.02,2408.78,0.14,0.26,4.84,4.93,6.32,319.96,2
100062500505W400,SBRS,1153.7,38.21,6.53,205.44,2388.33,0.16,0.27,5.65,5.54,6.42,331.46,3
100062500505W400,SBRS,1154.3,45.95,-3.84,203.80,2348.36,0.18,0.30,6.00,6.31,6.93,337.51,3
100062500505W400,SBRS,1154.5,46.43,-8.45,204.10,2330.47,0.20,0.30,6.23,6.69,7.26,333.71,2
100062500505W400,SBRS,1154.7,47.15,-13.02,204.43,2316.94,0.20,0.29,6.66,7.05,7.55,328.97,3
100062500505W400,SBRS,1155.0,49.68,-20.04,204.43,2347.25,0.19,0.29,7.39,7.43,7.90,319.54,2
100062500505W400,SBRS,1155.2,54.10,-14.33,203.98,2375.10,0.17,0.29,7.77,7.70,8.06,313.46,1
100062500505W400,SBRS,1155.5,59.86,-16.69,202.57,2382.97,0.16,0.26,8.30,8.14,8.60,305.42,2
100062500505W400,SBRS,1155.9,62.18,-24.62,200.82,2382.25,0.16,0.25,8.96,8.82,9.96,304.24,2
100062500505W400,SBRS,1156.2,62.16,-27.13,199.87,2358.49,0.16,0.27,9.47,9.31,10.99,306.16,3
100062500505W400,SBRS,1156.4,60.51,-25.96,200.19,2358.90,0.18,0.28,9.83,9.53,11.11,307.08,3
100062500505W400,SBRS,1156.6,58.58,-17.46,202.62,2368.09,0.18,0.29,10.19,9.81,10.50,305.53,4
100062500505W400,SBRS,1156.9,56.81,-8.73,205.39,2353.41,0.17,0.30,10.83,11.47,12.00,301.66,2
100062500505W400,SBRS,1157.1,52.94,-2.91,205.80,2327.26,0.18,0.29,11.67,14.04,14.61,307.75,4
100062500505W400,SBRS,1158.6,36.12,-14.97,196.88,2252.93,0.24,0.27,16.16,21.22,20.73,331.67,3
100062500505W400,SBRS,1158.8,35.66,-14.12,197.15,2254.82,0.24,0.27,14.64,19.35,19.37,330.37,4
100062500505W400,SBRS,1159.0,35.70,-12.58,197.37,2256.77,0.24,0.27,13.61,16.79,16.48,325.81,3
100061000505W400,SBRS,1065.3,59.85,-39.30,194.75,2366.44,0.18,0.33,3.48,3.55,3.51,298.98,2
100061000505W400,SBRS,1065.5,59.10,-40.40,194.75,2375.44,0.13,0.33,3.85,3.93,4.68,302.15,2
100061000505W400,SBRS,1065.9,64.16,-42.63,202.97,2348.77,0.18,0.35,4.47,4.55,3.73,316.10,1
100061000505W400,SBRS,1066.4,58.35,-47.37,199.66,2405.09,0.17,0.35,5.38,5.48,5.02,300.24,2
100061000505W400,SBRS,1066.7,52.80,-48.08,199.59,2394.16,0.14,0.33,5.97,6.09,7.47,300.34,2
100061000505W400,SBRS,1067.2,62.95,-52.28,202.75,2401.42,0.16,0.35,7.54,7.68,5.84,281.58,1
100061000505W400,SBRS,1067.4,62.33,-59.01,201.75,2408.29,0.15,0.35,8.35,8.59,7.96,277.49,1
100061000505W400,SBRS,1067.7,62.59,-64.75,203.50,2401.61,0.14,0.34,10.05,10.23,9.21,273.75,1
100061000505W400,SBRS,1068.2,67.35,-73.30,198.52,2338.61,0.16,0.32,13.29,13.54,12.24,272.09,1
100061000505W400,SBRS,1068.7,55.10,-88.32,196.04,2304.29,0.20,0.30,15.40,15.12,21.73,305.16,2
100061000505W400,SBRS,1069.3,54.94,-73.80,197.28,2348.81,0.21,0.31,15.91,14.51,11.91,285.00,1
100061000505W400,SBRS,1069.6,51.64,-77.00,197.53,2364.83,0.19,0.28,15.93,14.86,16.15,277.61,4
100061000505W400,SBRS,1069.9,48.47,-77.40,197.53,2351.73,0.17,0.25,16.31,16.69,24.59,276.33,1
100061000505W400,SBRS,1070.8,35.12,-79.20,198.25,2216.98,0.25,0.30,20.09,20.37,19.36,313.29,2
100061000505W400,SWFT,1072.1,101.06,-52.60,197.75,2350.56,0.18,0.33,9.13,9.26,8.04,308.06,3
100061000505W400,SWFT,1072.4,101.82,-53.40,197.25,2349.36,0.18,0.34,8.18,8.15,8.04,314.44,2
100061000505W400,SWFT,1072.7,91.67,-55.30,194.75,2352.11,0.18,0.34,8.04,7.40,8.22,318.71,2
100061000505W400,SWFT,1074.7,94.60,-56.92,194.37,2338.29,0.20,0.34,7.85,7.50,8.00,316.36,4
100061000505W400,SWFT,1075.1,90.61,-57.53,194.80,2349.54,0.18,0.33,7.96,7.47,8.33,318.75,2
100060600504W400,SBRS,1098.8,32.85,-65.10,194.13,2394.67,0.16,0.20,18.40,20.37,25.30,,5
100060600504W400,SBRS,1099.2,29.55,-67.10,194.88,2301.58,0.21,0.17,20.83,27.47,74.95,,5
100060600504W400,SBRS,1100.0,44.69,-64.90,195.00,2429.00,0.14,0.25,15.05,15.26,16.65,,4
100060600504W400,SBRS,1101.2,40.30,-59.90,196.38,2378.66,0.16,0.29,13.44,13.01,18.32,,2
100060600504W400,SBRS,1101.5,40.91,-62.70,192.50,2321.44,0.18,0.28,14.27,13.50,19.45,,4
100060600504W400,SBRS,1102.0,41.67,-65.10,194.50,2332.87,0.19,0.29,15.73,14.47,21.24,,4
100060600504W400,SBRS,1102.4,45.15,-66.20,193.23,2328.86,0.19,0.29,16.94,15.51,23.39,,4
100060600504W400,SBRS,1102.7,44.55,-66.80,194.38,2310.44,0.21,0.30,17.98,16.70,26.01,,4
100060600504W400,SBRS,1103.1,45.15,-68.70,194.43,2278.00,0.22,0.31,19.36,18.66,27.23,,4
100060600504W400,SBRS,1103.5,48.90,-70.50,194.55,2299.50,0.22,0.31,20.66,20.28,28.78,,4
100060600504W400,SBRS,1103.8,50.10,-72.48,194.60,2320.35,0.21,0.28,19.54,20.00,27.11,,3
100060600504W400,SBRS,1104.2,45.75,-73.37,194.50,2280.00,0.21,0.30,17.48,17.32,25.16,,3
100060600504W400,SBRS,1104.6,46.95,-73.78,195.25,2307.93,0.21,0.29,16.14,15.13,21.38,,3
100060600504W400,SBRS,1104.9,50.10,-72.70,195.13,2279.50,0.21,0.29,15.19,14.44,22.25,,3
100042700505W400,SBRS,1067.2,61.78,-63.35,201.13,2286.16,0.22,0.24,22.47,21.87,27.32,297.21,3
100042700505W400,SBRS,1067.3,59.25,-65.65,201.12,2274.28,0.23,0.24,23.25,22.73,29.15,301.60,3
100042700505W400,SBRS,1067.4,55.80,-68.32,201.09,2263.72,0.23,0.24,24.32,23.80,31.24,306.00,4
100042700505W400,SBRS,1067.6,46.80,-73.29,201.03,2250.68,0.24,0.24,27.03,26.31,34.27,310.97,4
100042700505W400,SBRS,1067.7,43.07,-74.21,201.03,2251.14,0.24,0.24,27.87,27.02,34.41,312.00,4
100042700505W400,SBRS,1067.9,38.47,-75.33,200.99,2256.40,0.24,0.24,29.34,28.08,34.23,313.29,3
100042700505W400,SBRS,1068.2,36.98,-76.42,200.85,2257.56,0.24,0.23,30.00,28.41,32.96,313.38,4
100042700505W400,SBRS,1068.4,38.47,-77.50,200.77,2254.32,0.24,0.23,29.42,27.58,32.59,313.21,3
100042700505W400,SBRS,1068.6,39.80,-78.79,200.71,2264.00,0.23,0.23,28.33,25.60,32.57,311.96,3
100042700505W400,SBRS,1068.8,38.91,-78.56,200.63,2277.32,0.23,0.23,27.25,24.15,31.27,309.09,1
100042700505W400,SBRS,1069.0,37.87,-76.75,200.48,2295.20,0.22,0.23,24.54,21.99,28.36,305.65,1
100042700505W400,SBRS,1069.1,38.91,-76.05,200.44,2301.52,0.21,0.23,23.53,21.32,27.86,303.74,3
100042700505W400,SBRS,1069.2,40.11,-75.32,200.37,2309.40,0.21,0.23,22.61,20.64,27.52,301.82,4
100042700505W400,SBRS,1069.4,43.25,-73.30,200.23,2330.36,0.19,0.23,20.87,19.25,26.67,298.37,3
100042700505W400,SBRS,1069.6,46.41,-70.02,200.13,2350.52,0.18,0.23,19.40,18.02,24.37,295.16,3
100042700505W400,SBRS,1069.8,51.66,-68.46,200.16,2343.16,0.19,0.23,19.01,17.88,22.95,292.44,4
100042700505W400,SBRS,1070.0,58.36,-68.70,200.25,2311.50,0.21,0.24,19.01,18.31,23.41,290.22,4
100042700505W400,SBRS,1070.1,61.04,-69.42,200.29,2303.90,0.21,0.24,19.10,18.51,24.20,291.54,4
100042700505W400,SBRS,1070.2,61.19,-70.21,200.32,2298.10,0.21,0.24,19.19,18.75,25.01,292.86,3
100042700505W400,SBRS,1070.4,55.84,-71.86,200.33,2288.02,0.22,0.24,19.51,19.33,26.23,297.18,3
100042700505W400,SBRS,1070.5,51.83,-72.99,200.33,2278.50,0.23,0.24,19.95,19.91,26.66,299.01,3
100042700505W400,SBRS,1070.6,47.23,-73.35,200.31,2272.90,0.23,0.24,20.24,20.19,26.74,300.83,4
100042700505W400,SBRS,1071.4,36.45,-72.96,200.16,2277.00,0.23,0.22,20.72,19.60,27.14,309.09,4
100042700505W400,SBRS,1071.6,38.10,-70.02,200.20,2307.96,0.21,0.22,20.34,18.56,25.23,306.97,4
100042700505W400,SBRS,1071.8,42.00,-66.74,200.27,2320.38,0.20,0.22,20.17,18.43,23.18,303.30,3
100042700505W400,SBRS,1072.1,48.27,-63.91,200.38,2301.60,0.21,0.23,19.53,19.21,23.39,295.94,2
100042700505W400,SBRS,1072.4,49.90,-67.28,200.32,2292.78,0.22,0.23,18.99,19.34,26.94,299.38,2
100042700505W400,SWFT,1073.4,60.89,-60.80,200.54,2377.94,0.16,0.22,15.05,14.27,19.78,293.52,2
100042700505W400,SWFT,1073.7,68.02,-57.72,200.66,2381.06,0.16,0.22,13.77,13.25,18.98,293.85,3
100042700505W400,SWFT,1073.9,70.40,-56.24,200.77,2378.28,0.16,0.22,13.48,13.13,18.19,294.11,3
100042700505W400,SWFT,1074.3,89.41,-55.63,200.79,2360.38,0.18,0.22,13.00,12.89,19.20,293.35,3
100042700505W400,SWFT,1074.6,85.40,-54.97,200.85,2357.00,0.18,0.23,12.18,11.99,18.82,295.06,3
100042700505W400,SWFT,1075.1,77.38,-49.54,200.81,2378.76,0.16,0.24,10.72,10.58,15.65,301.89,3
100042700505W400,SWFT,1075.5,82.13,-47.68,200.78,2391.50,0.16,0.25,9.71,9.46,15.05,307.57,3
100042700505W400,SWFT,1075.7,82.72,-46.70,200.77,2398.94,0.15,0.24,9.45,9.22,14.36,310.42,2
100042700505W400,SWFT,1076.4,80.79,-48.08,201.11,2375.04,0.17,0.24,8.69,8.92,14.29,315.97,2
100042700505W400,SWFT,1076.6,78.27,-49.47,201.15,2360.72,0.18,0.23,8.38,8.57,14.72,315.46,2
100042700505W400,SWFT,1077.2,84.21,-45.77,201.22,2344.36,0.19,0.24,8.00,7.98,12.41,318.33,2
100042700505W400,SWFT,1077.7,93.75,-45.62,201.30,2346.26,0.18,0.25,7.71,7.90,12.93,319.73,2
100042700505W400,SWFT,1078.5,88.96,-45.22,201.25,2347.20,0.18,0.26,8.02,8.14,12.97,319.31,2
100042700505W400,SWFT,1078.8,88.96,-44.25,201.23,2362.78,0.17,0.25,8.12,8.35,12.79,315.90,2
100042700505W400,SWFT,1079.3,85.40,-43.63,201.29,2392.82,0.16,0.25,8.18,8.40,13.75,308.08,2
100042700505W400,SWFT,1082.2,94.50,-43.19,202.49,2331.98,0.19,0.25,7.23,7.74,11.24,331.70,5
100042700505W400,SWFT,1082.3,91.80,-44.48,202.60,2330.54,0.19,0.25,7.64,8.26,11.98,330.05,6
100042700505W400,SWFT,1082.6,83.17,-52.14,202.84,2323.86,0.20,0.25,9.82,10.41,17.87,322.90,3
100042700505W400,SWFT,1082.8,72.18,-55.38,202.92,2327.28,0.20,0.25,10.70,10.69,20.01,318.17,4
100042700505W400,SWFT,1082.9,66.68,-56.37,203.04,2332.40,0.19,0.25,11.02,10.51,19.72,316.57,5
100042700505W400,SWFT,1083.1,59.85,-55.61,203.44,2348.56,0.18,0.24,11.13,9.56,16.11,315.28,5
100042700505W400,SWFT,1083.3,61.04,-52.18,203.75,2358.42,0.18,0.24,10.52,8.80,13.50,317.02,5
100042700505W400,SWFT,1084.0,84.36,-42.15,203.75,2368.00,0.17,0.26,6.16,6.52,10.89,325.99,2
100042700505W400,SWFT,1084.5,90.60,-39.32,203.70,2425.80,0.14,0.29,2.57,2.84,9.82,326.36,6
100040100505W400,SWFT,1069.6,74.10,-10.20,187.62,2510.40,0.09,0.31,12.07,12.70,12.47,,1
100040100505W400,SWFT,1071.1,73.95,-12.60,189.11,2559.41,0.06,0.32,14.08,14.47,16.78,,1
100040100505W400,SWFT,1071.7,76.50,-16.80,189.60,2520.79,0.09,0.36,14.01,14.54,14.68,,2
100040100505W400,SWFT,1072.0,66.00,-21.39,188.12,2476.14,0.11,0.37,13.76,14.41,14.41,,1
100040100505W400,SWFT,1072.9,54.00,-23.86,186.88,2489.05,0.09,0.30,15.73,16.17,17.74,,3
100040100505W400,SWFT,1074.5,79.05,-18.20,186.44,2468.03,0.11,0.31,12.71,13.25,14.26,,2
100040100505W400,SWFT,1074.7,79.65,-16.40,187.21,2473.52,0.11,0.31,12.08,12.70,12.88,,2
