UWI,FM_TOP,DEPTH,GR,SP,CALX,RHOB,DPSS,NPSS,ILD,ILM,SFL,DT,Binned_FZI_PS
100162100505W400,SBRS,1080.3,54.53,-54.59,219.03,2421.25,0.14,0.28,16.09,15.79,14.58,288.47,4
100162100505W400,SWFT,1080.8,62.83,-52.41,220.75,2407.47,0.15,0.28,15.11,15.02,13.75,288.20,4
100162100505W400,SWFT,1081.4,68.12,-52.57,219.94,2398.44,0.16,0.27,14.55,14.69,13.73,292.77,4
100162100505W400,SWFT,1082.3,74.63,-55.62,217.64,2393.70,0.15,0.29,13.77,13.67,13.10,300.94,4
100162100505W400,SWFT,1082.6,94.07,-52.65,218.22,2396.54,0.15,0.29,13.55,13.63,12.94,298.45,3
100162100505W400,SWFT,1082.9,98.77,-50.93,218.37,2406.97,0.15,0.28,13.27,13.42,13.42,295.73,4
100162100505W400,SWFT,1083.3,81.86,-47.16,219.41,2399.26,0.15,0.28,12.94,12.85,12.64,297.17,3
100162100505W400,SWFT,1083.8,75.98,-45.55,219.90,2380.21,0.16,0.31,12.46,12.42,11.70,301.36,4
100162100505W400,SWFT,1084.1,76.75,-47.71,217.96,2378.95,0.16,0.30,12.07,12.28,11.86,303.32,4
100162100505W400,SWFT,1084.4,77.70,-48.63,216.68,2385.11,0.16,0.29,11.79,11.97,12.17,303.47,3
100162100505W400,SWFT,1084.9,77.67,-45.12,218.54,2397.26,0.15,0.30,11.16,11.12,11.09,304.24,3
100162100505W400,SWFT,1085.3,76.83,-43.08,218.29,2389.96,0.15,0.30,10.46,10.41,10.76,305.40,3
100162100505W400,SWFT,1085.6,78.54,-41.98,218.58,2385.51,0.16,0.29,9.98,9.94,10.31,310.14,4
100162100505W400,SWFT,1085.9,83.92,-41.76,219.06,2391.55,0.16,0.31,9.84,9.79,10.08,312.33,4
100162100505W400,SWFT,1086.4,81.89,-43.13,219.30,2398.21,0.15,0.28,10.07,10.30,10.09,307.77,3
100162100505W400,SWFT,1086.9,72.61,-48.38,218.58,2395.19,0.15,0.29,10.60,10.96,11.42,303.08,4
100162100505W400,SWFT,1087.3,72.83,-48.03,217.24,2390.61,0.16,0.28,10.65,10.69,11.26,306.19,5
100162100505W400,SWFT,1087.6,79.24,-45.99,216.18,2384.99,0.16,0.28,10.32,10.09,10.34,311.23,2
100162100505W400,SWFT,1087.9,83.40,-44.34,215.88,2385.81,0.15,0.28,10.02,9.90,9.46,313.36,4
100162100505W400,SWFT,1088.2,81.41,-44.66,215.85,2394.65,0.15,0.31,9.78,9.88,9.89,311.90,3
100162100505W400,SWFT,1088.5,81.84,-44.95,217.03,2405.28,0.15,0.28,9.76,10.05,10.21,307.83,3
100162100505W400,SWFT,1088.8,82.43,-45.82,217.28,2405.67,0.15,0.28,9.80,10.07,10.45,304.93,3
100162100505W400,SWFT,1089.1,78.92,-45.39,217.40,2409.14,0.14,0.29,9.64,9.76,10.44,304.51,3
100162100505W400,SWFT,1089.4,81.03,-43.27,217.91,2402.54,0.15,0.29,9.32,9.38,9.79,307.09,4
100162100505W400,SWFT,1089.8,84.24,-41.26,218.20,2403.78,0.15,0.30,8.84,8.77,9.35,312.27,4
100162100505W400,SWFT,1090.2,85.22,-41.00,218.32,2411.05,0.15,0.30,8.72,8.75,8.60,316.10,1
100162100505W400,SWFT,1090.4,85.72,-42.16,218.02,2418.69,0.14,0.30,8.75,8.89,8.95,312.79,1
