GR,SP,CALX,RHOB,NPSS,ILD,FZI_CALC
79.65,-16.4,187.21,2473.52,0.31,12.08,0.69
82.65,-18.8,186.75,2469.5,0.33,11.96,1.41
81.45,-23.07,186.5,2433.66,0.35,12.75,0.47
73.2,-25.15,186.5,2406.44,0.32,13.7,0.16
75.9,-23.37,186.75,2409.9,0.32,13.57,1.52
96.9,-18.6,184.75,2391.06,0.33,12.14,0.3
171.09,-10.7,185.75,2390.06,0.34,10.52,1.5
42.14,37.15,205.43,2376.42,0.23,27.11,1.9
38.81,37.12,205.62,2345.66,0.23,30.97,1.31
39.85,35.6,205.56,2303.0,0.24,26.98,3.44
48.9,33.3,205.81,2314.0,0.24,24.38,4.44
55.5,18.1,205.56,2355.56,0.25,21.63,0.27
46.65,17.4,205.3,2391.39,0.21,23.28,0.14
49.2,15.9,205.04,2429.37,0.18,24.92,2.82
59.85,8.1,204.5,2500.52,0.13,17.13,0.19
60.3,13.0,204.5,2461.62,0.19,15.42,1.03
64.8,21.52,204.25,2436.0,0.25,13.64,0.09
58.05,20.91,204.25,2453.54,0.24,13.03,1.51
45.9,21.52,204.25,2473.23,0.21,14.6,1.04
40.88,28.66,204.2,2478.21,0.2,20.63,1.49
40.26,31.95,204.16,2451.01,0.2,26.19,0.71
39.32,31.63,204.09,2432.0,0.18,35.8,2.12
31.19,32.7,204.04,2405.97,0.19,46.7,0.89
32.36,34.0,204.31,2317.0,0.24,60.75,2.46
30.5,35.0,204.32,2249.5,0.25,56.61,6.19
31.51,34.6,204.59,2203.54,0.27,41.9,2.16
42.98,36.56,204.85,2299.5,0.25,31.55,0.92
56.6,39.34,205.1,2420.0,0.25,25.18,1.52
52.21,40.21,205.36,2387.0,0.26,20.0,7.9
45.0,40.81,205.39,2351.93,0.28,17.13,3.39
48.9,42.51,205.7,2371.87,0.28,15.56,1.53
56.4,41.8,205.26,2411.0,0.28,15.01,1.34
60.3,40.5,205.05,2420.5,0.27,14.74,2.3
59.25,40.8,206.06,2395.96,0.28,14.8,0.91
55.77,40.2,205.81,2373.74,0.3,15.07,1.86
55.91,43.6,204.8,2359.09,0.28,15.42,1.72
57.09,47.69,205.35,2367.63,0.27,15.69,2.19
60.07,48.59,205.41,2403.24,0.25,15.96,0.97
60.02,48.29,205.72,2402.09,0.28,16.08,1.54
60.3,48.49,205.75,2394.0,0.26,15.92,0.98
63.18,48.79,206.02,2383.96,0.26,15.64,0.92
66.82,48.99,206.04,2361.24,0.28,15.14,1.71
76.78,50.0,206.05,2371.25,0.28,15.14,3.14
95.61,50.67,206.06,2359.09,0.26,15.01,0.78
60.14,-37.45,249.94,1958.7,0.4,5.48,0.52
51.44,-41.9,296.55,2220.1,0.32,6.57,0.41
50.96,-48.19,227.99,2344.45,0.26,7.91,0.6
47.33,-57.98,201.5,2571.5,0.2,12.07,0.55
47.98,-59.97,200.58,2636.7,0.2,14.26,0.49
48.63,-65.46,200.48,2558.7,0.22,16.51,0.82
51.75,-73.79,201.7,2414.6,0.25,18.43,0.55
49.82,-74.73,202.7,2390.4,0.25,19.15,1.13
44.87,-73.61,203.53,2334.7,0.27,18.77,7.08
47.09,-67.71,203.23,2307.9,0.26,16.98,2.24
93.59,-49.44,200.45,2499.4,0.27,14.28,0.34
101.66,-42.28,203.73,2414.8,0.34,11.97,0.6
100.2,-47.58,204.45,2398.9,0.32,12.22,0.72
127.0,-45.3,201.9,2415.9,0.33,7.9,0.52
137.63,-34.74,224.63,2344.8,0.34,4.51,2.55
54.45,-6.95,234.5,2166.21,0.53,1.39,1.28
54.05,-12.42,228.0,2475.12,0.37,2.99,1.22
55.5,-15.5,228.13,2504.71,0.28,4.11,1.44
68.75,-21.46,230.13,2485.37,0.26,10.87,0.88
60.39,-23.46,229.75,2466.94,0.29,14.52,1.63
57.71,-25.21,229.75,2459.2,0.3,15.26,2.55
63.04,-26.6,228.94,2461.83,0.29,15.07,1.54
67.52,-28.61,228.56,2473.24,0.3,15.27,1.19
67.13,-32.25,226.25,2457.83,0.29,15.37,2.15
64.62,-37.75,229.0,2422.21,0.3,16.17,1.67
66.71,-39.5,227.88,2410.39,0.3,17.84,2.28
71.31,-39.0,227.88,2402.38,0.3,18.43,3.6
62.93,-38.0,228.5,2378.55,0.3,19.07,4.08
54.2,-37.85,228.56,2370.68,0.3,19.9,2.3
52.91,-38.74,227.63,2363.01,0.29,20.1,2.22
54.87,-40.0,226.5,2350.77,0.29,20.54,1.98
55.26,-41.9,226.25,2351.91,0.31,20.26,2.32
55.19,-42.79,226.25,2353.19,0.32,20.13,4.8
52.48,-44.29,226.94,2350.95,0.3,20.1,1.81
46.5,-46.07,227.0,2323.77,0.3,20.09,1.9
44.21,-45.32,227.0,2310.01,0.32,20.09,3.74
41.34,-44.57,226.88,2318.88,0.32,19.73,1.66
39.8,-42.95,221.56,2338.65,0.31,19.65,7.26
42.38,-42.81,225.94,2342.35,0.31,19.07,5.6
41.96,-43.04,224.94,2336.36,0.32,18.95,2.57
41.82,-42.68,225.25,2339.35,0.32,19.12,2.17
41.43,-42.32,225.25,2345.73,0.32,19.35,1.59
42.31,-40.57,224.63,2353.95,0.32,19.24,2.25
43.19,-38.82,224.0,2362.16,0.32,19.14,3.37
43.22,-38.2,223.5,2369.44,0.32,19.07,3.86
46.16,-36.82,225.13,2382.41,0.3,19.19,6.23
54.11,-34.43,227.75,2384.71,0.32,18.87,2.85
64.98,-24.77,229.19,2556.31,0.33,13.51,2.08
51.41,-66.38,212.1,2395.59,0.26,17.33,1.06
56.15,-64.86,212.1,2394.97,0.26,16.09,1.22
56.96,-63.72,212.1,2402.66,0.26,15.38,1.07
58.98,-56.72,212.1,2425.57,0.27,13.57,0.96
60.96,-51.02,212.1,2436.55,0.28,13.15,1.95
52.8,-53.0,212.1,2420.78,0.25,14.31,1.06
54.23,-61.76,212.1,2401.46,0.28,14.4,1.37
62.09,-71.13,212.1,2401.8,0.27,15.02,1.03
46.22,-71.57,212.1,2268.86,0.26,27.44,5.02
32.0,-65.09,212.1,2302.03,0.26,42.69,2.36
32.84,-63.57,212.1,2343.44,0.25,58.86,2.47
33.9,-63.11,212.1,2253.5,0.25,67.96,4.68
31.7,-62.72,212.1,2158.7,0.28,77.52,6.63
32.31,-62.47,212.1,2136.24,0.31,78.17,5.51
32.01,-61.44,212.1,2302.97,0.27,59.3,3.34
28.64,-58.79,212.1,2241.43,0.25,45.86,1.83
27.77,-57.69,212.1,2214.8,0.29,50.84,6.58
26.43,-57.19,212.1,2205.29,0.3,55.09,2.65
21.8,-55.33,212.1,2177.72,0.3,83.54,7.03
20.88,-53.94,212.1,2159.81,0.31,103.91,8.44
23.81,-53.44,212.1,2153.88,0.32,107.21,8.6
31.25,-52.91,212.1,2202.46,0.3,84.85,13.69
35.78,-52.55,212.1,2232.84,0.3,75.2,7.39
56.87,-47.71,212.1,2432.82,0.3,36.46,2.75
69.02,-44.47,212.1,2449.24,0.3,27.15,1.88
65.75,-38.69,212.1,2434.48,0.3,19.71,2.99
64.91,-37.94,212.1,2438.59,0.29,17.66,2.32
65.87,-38.94,212.1,2442.7,0.29,16.08,2.51
69.24,-36.97,212.1,2440.33,0.3,14.24,2.68
63.86,-36.0,212.1,2428.63,0.28,14.22,2.18
64.52,-35.75,212.1,2420.83,0.3,14.07,2.03
66.9,-35.75,212.1,2415.1,0.3,14.28,1.79
71.31,-35.5,213.11,2404.29,0.3,14.65,1.87
70.8,-35.4,214.13,2384.54,0.3,15.26,1.79
60.26,-36.04,214.13,2356.37,0.3,16.35,3.92
55.01,-36.82,214.13,2343.97,0.28,17.16,1.5
51.44,-36.7,214.13,2329.52,0.3,18.39,2.8
50.52,-36.42,214.13,2332.05,0.3,18.65,3.18
54.22,-35.82,214.13,2335.53,0.29,19.14,3.37
51.35,-34.82,214.13,2322.47,0.3,18.72,2.25
53.29,-35.5,216.13,2317.8,0.29,18.32,3.21
55.74,-35.5,216.13,2316.86,0.3,18.44,3.29
56.75,-34.25,216.13,2324.63,0.3,17.84,3.86
59.87,-33.75,216.13,2333.5,0.3,17.49,2.3
80.43,-33.5,216.13,2345.72,0.3,16.91,1.8
88.37,-32.75,216.13,2349.43,0.3,16.93,2.58
84.38,-32.35,216.13,2341.47,0.3,16.45,3.62
68.06,-32.46,216.13,2336.7,0.29,16.18,2.97
68.43,-31.81,216.13,2333.08,0.28,15.54,2.29
69.24,-30.55,216.13,2330.4,0.28,14.93,2.57
80.06,-23.84,216.13,2331.52,0.32,11.99,2.09
72.99,-25.35,216.13,2322.21,0.34,11.1,1.82
68.28,-25.3,216.13,2333.35,0.32,10.7,2.06
71.31,-23.82,216.13,2337.6,0.34,10.16,3.34
59.11,-65.94,198.02,2439.1,0.31,10.42,0.45
57.03,-70.7,195.55,2433.1,0.3,10.76,0.36
51.98,-73.6,198.76,2427.1,0.29,11.06,0.37
45.3,-82.08,198.27,2421.1,0.29,11.41,7.67
42.0,-84.26,196.29,2377.9,0.3,12.11,1.29
40.5,-84.95,194.55,2329.9,0.32,12.91,1.17
38.25,-85.94,193.56,2265.4,0.32,14.14,2.11
38.25,-86.73,193.07,2283.6,0.32,15.07,4.97
40.48,-88.42,191.57,2292.6,0.32,16.45,2.34
39.87,-89.51,189.57,2281.8,0.32,17.15,1.35
39.95,-91.68,192.0,2298.9,0.33,19.45,0.19
40.25,-92.08,192.24,2293.2,0.33,19.91,0.81
42.18,-90.59,192.95,2280.6,0.32,20.74,0.51
46.5,-87.82,193.91,2268.0,0.32,21.51,0.35
50.25,-86.04,193.9,2261.7,0.31,22.01,1.73
53.55,-83.17,193.13,2257.4,0.31,22.41,1.19
63.86,-73.4,195.8,2338.6,0.31,22.41,1.6
65.64,-69.41,194.06,2395.3,0.31,22.21,0.24
64.75,-68.91,194.31,2386.2,0.32,21.91,1.39
63.71,-69.11,194.31,2376.0,0.32,20.93,0.9
61.34,-73.2,194.06,2345.4,0.33,18.58,0.87
55.65,-77.3,194.06,2314.8,0.33,16.8,0.11
56.7,-75.3,192.33,2294.4,0.32,15.75,2.3
63.42,-67.62,195.3,2308.2,0.32,15.12,2.45
72.62,-60.5,196.04,2362.8,0.31,14.98,1.88
80.05,-56.63,197.03,2417.4,0.31,14.84,1.74
79.31,-52.57,197.28,2499.3,0.32,13.79,1.43
73.66,-53.37,196.29,2491.1,0.33,12.81,1.77
64.31,-62.77,196.29,2455.7,0.33,12.24,1.19
54.0,-74.0,196.29,2420.3,0.34,12.7,0.88
45.75,-80.69,193.81,2384.9,0.33,12.7,1.68
45.75,-82.28,193.81,2349.5,0.33,12.7,2.77
52.35,-83.47,193.29,2225.0,0.33,12.93,1.82
58.2,-85.05,193.53,2336.7,0.34,13.05,0.92
62.82,-85.94,192.02,2364.1,0.35,13.23,0.91
66.09,-83.96,194.0,2376.8,0.35,13.42,0.34
68.16,-81.49,193.47,2371.6,0.34,13.41,0.27
80.5,-73.9,192.17,2363.0,0.33,13.4,0.34
102.62,-64.06,193.36,2404.0,0.31,13.2,0.43
124.02,-52.97,197.03,2449.6,0.31,11.98,0.25
135.93,-46.63,197.03,2480.0,0.33,11.12,0.3
146.82,-39.21,197.03,2484.0,0.36,10.09,0.69
124.15,-32.67,198.27,2461.2,0.4,8.84,0.39
91.34,-29.12,198.02,2447.2,0.47,7.47,0.55
55.86,-19.8,208.91,2306.27,0.4,3.06,0.23
53.47,-26.5,198.0,2398.41,0.32,4.36,0.39
52.75,-29.7,193.25,2410.95,0.25,6.68,0.37
53.17,-32.1,193.25,2419.7,0.25,10.72,0.46
51.26,-34.2,193.5,2426.27,0.26,14.41,0.53
50.06,-35.2,193.74,2430.25,0.25,16.7,1.03
49.7,-36.8,192.71,2452.54,0.24,20.47,0.15
51.5,-40.1,190.93,2480.6,0.23,22.34,2.84
48.8,-45.38,189.4,2450.55,0.22,24.38,1.74
43.06,-51.37,188.63,2421.89,0.22,26.49,1.18
39.53,-56.24,188.61,2387.46,0.22,30.42,1.53
40.67,-59.51,189.36,2358.61,0.22,35.13,1.22
44.68,-61.4,188.86,2334.33,0.24,40.55,0.57
41.57,-62.5,189.36,2263.09,0.28,46.91,2.27
36.07,-62.3,189.34,2231.24,0.29,53.38,1.89
33.55,-62.3,190.31,2250.55,0.29,61.99,2.93
34.39,-62.1,190.29,2253.93,0.29,67.75,2.46
34.99,-61.9,189.76,2249.95,0.28,68.7,1.91
34.93,-61.1,189.5,2250.95,0.28,67.12,2.19
34.81,-60.7,189.75,2255.52,0.29,64.66,2.19
33.61,-60.4,190.25,2251.94,0.29,59.72,1.28
32.54,-59.41,189.0,2236.22,0.3,54.64,2.42
32.84,-57.82,187.75,2232.24,0.3,54.14,3.75
32.72,-56.04,187.25,2240.6,0.31,53.38,0.94
32.12,-54.17,187.5,2240.6,0.31,52.87,0.44
31.64,-51.99,187.75,2219.1,0.31,50.0,4.1
32.72,-48.11,188.75,2184.88,0.3,44.16,1.17
35.23,-46.32,189.25,2204.38,0.29,38.09,5.71
45.63,-41.46,190.0,2292.54,0.27,30.6,7.51
57.9,-37.5,191.0,2448.56,0.26,25.54,0.58
70.22,-33.4,191.97,2500.5,0.27,21.24,0.27
75.0,-30.2,191.67,2440.0,0.3,16.33,0.25
72.61,-31.0,191.13,2449.55,0.33,14.82,0.6
73.8,-30.7,190.85,2460.9,0.33,13.95,0.61
75.6,-29.11,191.09,2438.41,0.32,13.44,0.81
77.27,-28.12,192.08,2426.07,0.31,13.26,1.6
79.96,-27.13,193.32,2406.57,0.31,13.01,1.33
79.07,-26.63,194.31,2393.63,0.31,12.89,1.4
82.36,-25.35,194.54,2405.97,0.31,12.66,1.11
89.41,-24.55,194.03,2400.6,0.3,12.83,0.69
86.72,-25.05,193.02,2387.07,0.31,13.07,1.1
79.96,-25.94,190.0,2352.44,0.33,12.95,1.9
79.49,-25.64,190.5,2335.92,0.33,12.83,1.57
86.42,-22.18,192.5,2367.76,0.34,12.6,1.01
88.64,-18.4,195.25,2372.34,0.35,11.59,0.78
52.28,-25.5,195.5,2408.32,0.3,5.92,0.18
42.45,-48.08,196.0,2509.5,0.18,13.33,1.25
41.09,-53.76,196.24,2489.09,0.19,15.35,0.25
38.83,-58.81,196.44,2440.93,0.21,17.66,0.45
44.46,-60.3,195.37,2368.67,0.25,20.78,1.13
45.92,-60.3,194.58,2337.0,0.25,21.54,2.73
40.7,-60.5,193.33,2305.0,0.24,22.34,3.56
37.3,-60.2,193.36,2278.5,0.24,23.07,1.57
36.27,-59.4,194.64,2293.5,0.25,22.97,9.35
39.27,-58.2,196.68,2318.5,0.26,22.24,0.75
42.73,-56.3,198.72,2318.5,0.26,21.63,0.32
48.56,-51.2,198.5,2318.5,0.27,17.93,1.42
74.75,-30.9,209.66,2424.04,0.17,8.79,0.86
62.88,-37.2,209.66,2416.56,0.21,9.47,0.48
27.89,-54.75,209.92,2276.0,0.27,10.71,1.94
24.98,-58.18,209.43,2206.6,0.25,11.8,9.48
41.74,-57.98,209.18,2229.06,0.22,13.05,9.62
47.12,-58.38,208.44,2283.5,0.19,15.19,5.28
41.68,-51.82,207.95,2292.0,0.13,15.33,7.21
47.51,-43.5,207.71,2371.6,0.09,15.19,7.51
51.35,-49.2,207.72,2518.0,0.16,16.57,2.52
32.83,-53.23,207.73,2417.85,0.21,20.19,1.37
22.95,-60.7,207.98,2321.5,0.26,21.33,0.62
19.97,-62.0,208.23,2260.0,0.26,21.93,0.98
19.23,-61.2,206.99,2219.76,0.22,21.73,2.97
19.51,-58.69,206.99,2223.73,0.18,21.33,2.94
22.36,-48.8,207.5,2275.0,0.14,19.19,2.69
30.6,-40.41,208.0,2377.78,0.11,16.65,0.49
26.54,-56.1,208.25,2401.5,0.17,13.23,0.82
30.06,-54.3,208.25,2349.0,0.12,11.91,0.37
48.96,20.35,203.4,2202.03,0.3,3.15,0.36
40.35,19.07,200.6,2481.05,0.27,3.77,0.79
45.75,17.39,200.75,2412.94,0.3,4.15,0.38
64.24,13.16,211.63,2302.63,0.35,4.59,0.24
64.62,6.47,201.75,2339.35,0.33,5.22,0.28
59.52,3.99,205.48,2363.12,0.31,6.19,0.27
56.07,-0.3,202.45,2368.14,0.3,6.97,0.3
54.27,-11.51,196.57,2372.32,0.29,8.47,0.51
53.76,-22.58,195.38,2368.8,0.29,9.84,0.23
49.75,-26.24,195.59,2363.84,0.28,10.95,0.25
42.89,-31.93,196.22,2341.7,0.27,12.62,1.71
36.08,-42.51,197.07,2306.61,0.27,14.54,6.05
35.42,-34.24,197.9,2282.64,0.25,15.97,7.43
45.52,-33.05,197.92,2415.68,0.25,13.35,0.23
52.4,-40.25,198.0,2434.8,0.26,12.72,0.96
59.7,-33.19,197.71,2359.52,0.27,13.62,0.32
58.83,-25.58,197.34,2321.9,0.28,15.36,0.62
65.35,-25.61,196.4,2333.75,0.26,17.05,3.89
74.67,-27.46,196.53,2376.14,0.27,15.45,0.42
31.63,-17.5,201.98,2429.5,0.49,2.59,0.72
35.2,-23.58,200.5,2405.5,0.35,3.31,0.67
38.32,-26.56,200.5,2387.13,0.31,3.93,2.17
41.44,-29.56,200.5,2387.13,0.28,4.86,2.37
47.1,-31.58,200.75,2567.0,0.21,10.05,0.81
48.6,-40.9,201.98,2499.0,0.23,14.11,0.46
45.15,-50.7,198.25,2448.5,0.26,13.33,1.07
39.95,-55.9,198.25,2366.83,0.28,12.96,1.34
40.25,-57.7,198.25,2335.0,0.29,12.54,3.1
42.48,-56.7,198.25,2378.71,0.3,12.08,3.8
42.18,-54.4,198.25,2418.5,0.31,11.79,0.67
45.9,-53.0,198.25,2433.5,0.32,11.63,1.88
49.05,-50.5,195.5,2402.5,0.33,11.25,1.83
39.95,-77.0,199.25,2334.0,0.33,10.84,1.17
38.76,-71.3,199.25,2319.0,0.33,11.04,0.42
36.39,-67.82,199.26,2332.0,0.34,11.41,1.22
38.76,-64.26,199.26,2375.74,0.33,11.79,1.06
42.04,-61.98,199.51,2397.53,0.33,11.96,1.89
44.58,-59.6,200.0,2412.0,0.34,11.96,1.45
48.48,-56.1,200.5,2434.0,0.34,11.96,2.34
95.25,-26.24,215.25,2430.5,0.34,8.04,0.66
98.85,-24.36,226.49,2392.08,0.34,6.56,0.56
126.9,-22.08,244.8,2394.55,0.36,5.83,0.5
88.05,-20.59,237.87,2398.52,0.38,5.44,0.6
73.96,-19.7,255.5,2296.0,0.38,5.09,0.59
73.66,-19.7,251.25,2301.0,0.39,5.05,0.76
73.37,-19.8,248.52,2398.52,0.39,4.98,1.1
72.64,-19.7,279.95,2420.5,0.4,4.61,0.56
74.52,-18.91,275.0,2346.5,0.41,4.42,0.67
74.7,-19.6,285.44,2318.5,0.42,4.22,0.47
74.24,-17.1,253.75,2344.0,0.45,2.91,0.63
74.39,-16.6,275.25,2296.0,0.45,2.82,1.27
76.65,-16.5,246.29,2272.5,0.45,2.76,1.11
78.0,-16.6,236.63,2345.0,0.44,2.7,0.32
77.85,-16.5,224.0,2343.5,0.45,2.73,1.18
78.3,-16.7,235.4,2330.0,0.46,2.82,0.87
82.35,-17.4,227.23,2351.49,0.46,2.97,0.56
80.1,-18.1,236.39,2285.0,0.44,3.29,1.66
75.9,-19.7,240.1,2242.0,0.46,3.58,1.61
75.45,-20.99,229.46,2246.5,0.44,3.78,0.48
67.94,-18.69,200.0,2383.0,0.27,19.28,5.79
66.62,-20.2,200.02,2352.0,0.28,18.67,5.61
60.15,-22.21,200.09,2332.0,0.28,18.41,5.17
50.11,-24.43,200.16,2305.0,0.27,19.28,7.72
51.9,-26.35,200.21,2295.5,0.27,19.73,0.71
54.72,-27.88,200.25,2332.0,0.28,20.28,6.92
45.74,-29.6,200.0,2294.5,0.29,20.94,0.71
44.12,-30.5,200.0,2262.0,0.29,21.24,7.72
43.97,-31.1,200.0,2256.5,0.29,21.43,0.71
43.82,-31.3,200.0,2264.0,0.28,21.63,6.25
47.67,-31.7,200.0,2313.0,0.28,21.14,4.04
51.54,-31.5,200.0,2331.5,0.28,20.75,7.98
54.51,-31.3,200.0,2350.0,0.28,20.56,7.72
60.74,-30.3,199.02,2384.5,0.29,19.73,1.48
60.59,-29.9,198.78,2388.0,0.29,19.46,0.82
59.26,-28.99,198.78,2395.0,0.29,18.93,0.87
62.06,-27.27,198.83,2394.5,0.29,18.17,2.82
66.03,-25.25,198.88,2390.0,0.28,17.6,1.15
67.65,-24.24,199.15,2387.5,0.28,17.2,0.73
67.65,-23.23,199.18,2386.0,0.28,16.89,1.77
65.15,-22.42,199.47,2381.0,0.28,16.44,0.73
66.47,-22.42,199.75,2387.5,0.27,15.71,0.73
76.82,-21.72,199.75,2420.0,0.27,15.28,1.77
87.27,-19.8,200.0,2446.5,0.28,14.8,0.99
77.9,-21.52,200.98,2378.0,0.29,15.22,2.12
78.24,-22.32,200.0,2362.0,0.29,15.87,0.55
78.7,-22.32,199.75,2378.0,0.29,16.02,1.04
79.51,-22.32,198.07,2384.0,0.29,16.04,0.98
79.36,-22.42,197.85,2390.0,0.29,15.89,0.99
81.32,-22.63,197.63,2396.0,0.3,15.74,1.06
97.03,-22.42,198.21,2380.0,0.32,15.09,0.99
109.39,-21.92,198.76,2382.0,0.32,14.68,0.6
66.62,-24.55,193.81,2312.5,0.3,16.17,0.99
57.7,-26.94,193.1,2285.5,0.28,18.83,1.43
58.77,-27.33,193.36,2277.5,0.28,19.36,2.2
59.08,-27.32,193.61,2283.0,0.28,19.36,0.91
59.26,-26.6,193.63,2306.5,0.29,18.15,1.06
60.29,-26.4,193.63,2309.5,0.29,17.33,0.79
63.97,-26.6,193.14,2298.5,0.28,16.47,1.06
60.0,-26.1,192.65,2317.5,0.27,16.25,1.29
59.11,-25.8,192.89,2322.0,0.27,16.1,0.69
63.83,-24.79,195.38,2336.5,0.27,15.36,1.29
