GR,SP,CALX,RHOB,NPSS,ILD,FZI_CALC
58.81,-76.73,195.45,2405.58,0.28,16.45,2.23
44.4,-78.91,195.25,2307.96,0.3,16.76,0.29
44.1,-81.0,195.25,2293.5,0.31,16.69,0.81
48.12,-84.0,195.25,2314.87,0.31,16.71,1.33
51.39,-86.8,195.65,2325.51,0.29,18.25,1.7
51.68,-86.2,195.45,2284.94,0.3,19.55,1.46
56.14,-78.91,195.85,2328.51,0.28,16.07,0.93
86.55,-64.8,195.85,2442.27,0.3,12.97,0.92
108.45,-61.3,198.23,2462.09,0.32,10.42,0.6
56.99,-64.5,200.46499999999997,2269.63,0.31,14.27,0.77
52.4,-64.95,200.46499999999997,2268.14,0.31,14.8,3.73
49.15,-64.95,200.46499999999997,2289.65,0.3,15.35,2.59
44.57,-63.75,200.46499999999997,2324.92,0.29,15.85,1.88
43.25,-63.0,200.46499999999997,2346.22,0.28,15.85,1.12
45.08,-60.75,200.46499999999997,2414.56,0.28,15.64,1.54
45.57,-60.9,200.46499999999997,2418.53,0.29,15.35,0.81
45.83,-61.2,200.46499999999997,2427.45,0.3,15.21,0.86
46.1,-61.8,200.46499999999997,2384.24,0.31,15.14,3.7
46.85,-62.55,200.46499999999997,2354.75,0.31,15.21,3.12
52.02,-63.3,200.46499999999997,2432.46,0.29,15.42,1.54
54.05,-64.35,200.46499999999997,2430.99,0.3,15.49,1.89
54.31,-66.0,200.46499999999997,2402.78,0.3,15.49,2.35
54.57,-67.35,200.46499999999997,2374.32,0.3,15.49,1.95
52.48,-68.55,200.46499999999997,2353.83,0.29,15.49,1.38
50.39,-68.85,200.46499999999997,2353.84,0.29,15.35,2.2
48.76,-68.85,200.46499999999997,2363.35,0.3,15.21,0.46
46.22,-65.25,200.46499999999997,2413.24,0.3,14.8,0.28
55.21,-56.96,200.46499999999997,2421.22,0.33,14.02,0.1
57.89,-55.73,200.46499999999997,2400.44,0.33,13.84,3.11
59.18,-55.72,200.46499999999997,2387.96,0.33,13.84,0.15
33.18,-7.29,204.88,2284.67,0.28,23.11,3.21
33.01,-7.31,203.13,2280.23,0.27,23.15,2.09
33.03,-7.11,202.88,2284.08,0.27,22.65,1.46
35.49,-8.38,205.13,2310.34,0.27,21.39,4.53
35.23,-11.53,199.63,2332.41,0.26,19.78,4.17
31.8,-12.17,199.33,2329.02,0.27,19.46,3.12
28.72,-11.44,199.43,2315.66,0.28,18.96,5.6
33.44,-9.47,198.51,2290.38,0.28,20.09,4.64
35.79,-11.81,196.68,2261.77,0.28,20.87,3.49
31.89,-12.18,196.58,2284.88,0.29,21.08,8.78
38.0,-13.97,196.48,2302.45,0.27,20.33,1.61
38.01,-11.79,198.58,2303.2,0.27,19.28,2.35
36.91,-12.32,199.33,2312.43,0.27,18.6,1.69
35.78,-12.11,198.35,2313.42,0.27,18.22,1.45
62.58,-9.76,199.68,2358.09,0.27,14.8,0.66
69.16,-7.21,199.23,2409.75,0.29,13.86,1.28
90.58,11.52,202.35,2415.28,0.3,12.06,0.88
105.95,16.32,203.06,2405.57,0.3,12.14,1.12
108.3,20.63,203.29,2398.81,0.31,12.3,1.17
98.61,22.43,202.55,2397.54,0.32,12.17,1.14
46.61,47.68,197.93,2390.4,0.23,4.17,1.3
47.78,34.09,197.58,2428.86,0.21,6.66,1.07
45.95,23.92,196.35,2449.38,0.21,10.69,1.3
46.26,15.16,196.02,2461.07,0.2,17.6,1.22
43.55,13.58,195.6,2442.31,0.19,18.94,0.53
37.74,12.79,196.16,2418.23,0.2,18.58,0.66
33.86,10.99,194.99,2401.33,0.22,17.69,0.58
38.92,11.37,196.09,2349.11,0.21,17.5,4.14
41.27,11.28,196.63,2345.54,0.21,17.24,1.0
47.36,13.7,197.58,2422.98,0.25,15.76,0.55
47.39,18.16,197.37,2471.97,0.26,14.53,0.26
44.9,19.91,197.98,2481.61,0.25,13.58,0.41
44.73,19.31,196.9,2474.58,0.25,13.33,0.75
43.66,19.19,197.03,2458.46,0.23,14.54,0.54
38.44,14.6,196.23,2418.5,0.21,17.26,0.85
33.22,12.5,196.49,2401.0,0.21,18.66,0.21
28.33,10.58,196.55,2374.46,0.19,21.01,1.64
21.17,8.79,196.5,2339.68,0.18,26.43,5.2
21.29,7.63,197.04,2311.37,0.19,36.01,5.12
25.27,6.27,197.31,2305.23,0.22,53.35,4.96
29.99,5.35,196.9,2271.03,0.24,68.59,0.56
37.47,4.91,196.21,2208.26,0.24,69.21,3.26
51.44,3.77,200.17,2282.4,0.21,63.04,2.94
50.19,2.57,199.98,2337.32,0.21,57.47,0.54
44.97,1.73,199.63,2319.93,0.23,29.2,1.49
72.5,-1.66,200.57,2296.4,0.24,21.48,1.77
63.19,-11.19,200.37,2327.72,0.23,19.69,0.13
50.93,-16.08,200.3,2380.57,0.21,19.02,0.56
44.79,-12.28,200.24,2410.38,0.22,19.66,3.79
30.72,0.77,198.95,2293.07,0.25,33.97,2.4
27.95,4.91,198.2,2262.53,0.26,50.93,1.89
24.03,8.72,198.75,2250.85,0.23,58.25,1.73
24.22,11.48,197.84,2241.79,0.25,57.94,2.86
47.99,23.22,197.93,2293.38,0.25,30.93,4.84
