GR,SP,CALX,RHOB,NPSS,ILD,ILM,SFL,Binned_FZI_PS
90.0,-76.9,195.45,2468.51,0.28,15.09,16.86,13.07,2
93.27,-82.28,195.45,2449.0,0.29,14.81,16.32,16.55,2
84.6,-86.14,195.45,2421.5,0.28,14.74,16.1,17.9,2
72.46,-88.52,195.45,2396.01,0.27,14.6,15.87,18.22,2
67.22,-89.7,195.45,2385.02,0.27,14.59,15.71,17.47,2
63.3,-90.9,195.45,2367.5,0.31,14.58,15.62,16.51,2
50.05,-90.9,195.65,2315.35,0.32,14.64,15.61,18.08,2
67.65,-74.0,195.45,2446.15,0.28,16.42,17.67,14.71,2
67.95,-77.1,195.45,2450.02,0.29,17.35,19.02,18.58,2
52.87,-85.35,195.45,2309.0,0.32,20.66,22.03,26.01,4
37.18,-87.22,195.45,2238.46,0.32,22.13,24.72,25.07,3
38.66,-84.23,195.45,2254.0,0.32,20.28,22.65,27.11,4
58.35,-72.48,195.45,2348.04,0.28,17.43,18.16,18.41,2
78.45,-60.8,195.45,2531.0,0.26,15.61,15.83,12.24,2
89.7,-52.97,195.45,2542.0,0.3,13.98,14.37,11.59,2
76.65,-56.24,195.45,2478.42,0.3,14.46,15.63,15.41,4
68.55,-63.3,195.25,2449.82,0.29,14.87,16.14,19.64,2
59.41,-70.1,195.45,2422.22,0.28,15.49,16.74,19.02,4
58.81,-76.73,195.45,2405.58,0.28,16.45,17.21,17.69,4
44.4,-78.91,195.25,2307.96,0.3,16.76,18.43,24.38,2
44.1,-81.0,195.25,2293.5,0.31,16.69,17.63,21.25,2
48.12,-84.0,195.25,2314.87,0.31,16.71,17.4,18.21,3
51.39,-86.8,195.65,2325.51,0.29,18.25,19.37,20.94,3
51.68,-86.2,195.45,2284.94,0.3,19.55,21.43,22.34,3
56.14,-78.91,195.85,2328.51,0.28,16.07,17.21,18.17,2
86.55,-64.8,195.85,2442.27,0.3,12.97,13.39,13.7,2
108.45,-61.3,198.23,2462.09,0.32,10.42,11.11,10.32,2
56.99,-64.5,200.46499999999997,2269.63,0.31,14.27,15.64,29.73,2
52.4,-64.95,200.46499999999997,2268.14,0.31,14.8,16.36,30.0,4
49.15,-64.95,200.46499999999997,2289.65,0.3,15.35,16.97,29.32,4
44.57,-63.75,200.46499999999997,2324.92,0.29,15.85,17.28,26.25,3
43.25,-63.0,200.46499999999997,2346.22,0.28,15.85,17.13,24.38,3
45.08,-60.75,200.46499999999997,2414.56,0.28,15.64,16.36,16.51,3
45.57,-60.9,200.46499999999997,2418.53,0.29,15.35,16.36,16.36,2
45.83,-61.2,200.46499999999997,2427.45,0.3,15.21,16.36,16.97,2
46.1,-61.8,200.46499999999997,2384.24,0.31,15.14,16.36,19.2,4
46.85,-62.55,200.46499999999997,2354.75,0.31,15.21,16.36,21.14,4
52.02,-63.3,200.46499999999997,2432.46,0.29,15.42,16.36,17.28,3
54.05,-64.35,200.46499999999997,2430.99,0.3,15.49,16.36,16.51,3
54.31,-66.0,200.46499999999997,2402.78,0.3,15.49,16.36,18.34,4
54.57,-67.35,200.46499999999997,2374.32,0.3,15.49,16.36,20.28,3
52.48,-68.55,200.46499999999997,2353.83,0.29,15.49,16.36,22.03,3
50.39,-68.85,200.46499999999997,2353.84,0.29,15.35,16.22,24.16,4
48.76,-68.85,200.46499999999997,2363.35,0.3,15.21,16.07,25.18,2
46.22,-65.25,200.46499999999997,2413.24,0.3,14.8,15.64,19.73,2
55.21,-56.96,200.46499999999997,2421.22,0.33,14.02,14.68,15.15,2
57.89,-55.73,200.46499999999997,2400.44,0.33,13.84,14.49,14.29,4
59.18,-55.72,200.46499999999997,2387.96,0.33,13.84,14.49,14.16,2
33.18,-7.29,204.88,2284.67,0.28,23.11,29.31,24.29,4
33.01,-7.31,203.13,2280.23,0.27,23.15,27.86,24.31,4
33.03,-7.11,202.88,2284.08,0.27,22.65,26.89,23.11,3
35.49,-8.38,205.13,2310.34,0.27,21.39,22.46,20.43,4
35.23,-11.53,199.63,2332.41,0.26,19.78,19.8,18.58,4
31.8,-12.17,199.33,2329.02,0.27,19.46,19.42,18.7,4
28.72,-11.44,199.43,2315.66,0.28,18.96,19.08,19.51,4
33.44,-9.47,198.51,2290.38,0.28,20.09,20.09,19.43,4
35.79,-11.81,196.68,2261.77,0.28,20.87,21.0,20.32,4
31.89,-12.18,196.58,2284.88,0.29,21.08,21.03,19.37,4
38.0,-13.97,196.48,2302.45,0.27,20.33,20.4,18.82,3
38.01,-11.79,198.58,2303.2,0.27,19.28,18.83,17.89,4
36.91,-12.32,199.33,2312.43,0.27,18.6,18.41,17.63,3
35.78,-12.11,198.35,2313.42,0.27,18.22,17.76,17.26,3
62.58,-9.76,199.68,2358.09,0.27,14.8,13.38,14.65,2
69.16,-7.21,199.23,2409.75,0.29,13.86,14.18,13.0,3
90.58,11.52,202.35,2415.28,0.3,12.06,11.93,11.16,2
105.95,16.32,203.06,2405.57,0.3,12.14,12.27,11.36,3
108.3,20.63,203.29,2398.81,0.31,12.3,12.45,11.65,3
98.61,22.43,202.55,2397.54,0.32,12.17,14.59,11.89,3
46.61,47.68,197.93,2390.4,0.23,4.17,5.56,5.23,3
47.78,34.09,197.58,2428.86,0.21,6.66,8.78,10.77,3
45.95,23.92,196.35,2449.38,0.21,10.69,12.84,16.4,3
46.26,15.16,196.02,2461.07,0.2,17.6,19.43,19.24,3
43.55,13.58,195.6,2442.31,0.19,18.94,20.88,17.73,2
37.74,12.79,196.16,2418.23,0.2,18.58,20.94,16.63,2
33.86,10.99,194.99,2401.33,0.22,17.69,19.64,18.47,2
38.92,11.37,196.09,2349.11,0.21,17.5,17.62,22.02,4
41.27,11.28,196.63,2345.54,0.21,17.24,16.6,20.68,2
47.36,13.7,197.58,2422.98,0.25,15.76,14.54,13.39,2
47.39,18.16,197.37,2471.97,0.26,14.53,14.03,11.85,2
44.9,19.91,197.98,2481.61,0.25,13.58,13.82,12.58,2
44.73,19.31,196.9,2474.58,0.25,13.33,13.91,14.58,2
43.66,19.19,197.03,2458.46,0.23,14.54,15.12,13.73,2
38.44,14.6,196.23,2418.5,0.21,17.26,18.26,13.95,2
33.22,12.5,196.49,2401.0,0.21,18.66,20.18,15.26,2
28.33,10.58,196.55,2374.46,0.19,21.01,23.38,19.66,3
21.17,8.79,196.5,2339.68,0.18,26.43,30.37,39.07,4
21.29,7.63,197.04,2311.37,0.19,36.01,39.7,70.34,4
25.27,6.27,197.31,2305.23,0.22,53.35,52.3,78.11,4
29.99,5.35,196.9,2271.03,0.24,68.59,60.51,73.9,2
37.47,4.91,196.21,2208.26,0.24,69.21,56.67,60.5,4
51.44,3.77,200.17,2282.4,0.21,63.04,46.28,42.01,4
50.19,2.57,199.98,2337.32,0.21,57.47,43.59,41.06,2
44.97,1.73,199.63,2319.93,0.23,29.2,27.18,44.9,3
72.5,-1.66,200.57,2296.4,0.24,21.48,16.62,39.29,3
63.19,-11.19,200.37,2327.72,0.23,19.69,15.39,14.2,2
50.93,-16.08,200.3,2380.57,0.21,19.02,17.24,12.9,2
44.79,-12.28,200.24,2410.38,0.22,19.66,19.84,34.73,4
30.72,0.77,198.95,2293.07,0.25,33.97,32.2,35.21,4
27.95,4.91,198.2,2262.53,0.26,50.93,41.38,48.57,3
24.03,8.72,198.75,2250.85,0.23,58.25,43.27,45.42,3
24.22,11.48,197.84,2241.79,0.25,57.94,42.11,37.5,4
47.99,23.22,197.93,2293.38,0.25,30.93,24.32,28.3,4
44.82,27.28,199.21,2367.6,0.23,22.98,19.88,17.73,4
49.52,24.68,199.21,2417.95,0.24,18.6,16.93,16.92,4
57.2,29.03,199.28,2404.2,0.28,15.07,12.93,13.06,3
44.82,33.93,199.98,2398.59,0.28,14.78,13.55,10.25,4
37.62,31.39,199.83,2382.71,0.29,14.22,14.3,15.71,4
