GR,SP,CALX,RHOB,NPSS,ILD,ILM,SFL,Binned_FZI_PS
94.6,-56.92,194.37,2338.29,0.34,7.85,7.5,8.0,4
90.61,-57.53,194.8,2349.54,0.33,7.96,7.47,8.33,2
32.85,-65.1,194.13,2394.67,0.2,18.4,20.37,25.3,4
29.55,-67.1,194.88,2301.58,0.17,20.83,27.47,74.95,4
44.69,-64.9,195.0,2429.0,0.25,15.05,15.26,16.65,4
40.3,-59.9,196.38,2378.66,0.29,13.44,13.01,18.32,2
40.91,-62.7,192.5,2321.44,0.28,14.27,13.5,19.45,4
41.67,-65.1,194.5,2332.87,0.29,15.73,14.47,21.24,4
45.15,-66.2,193.23,2328.86,0.29,16.94,15.51,23.39,4
44.55,-66.8,194.38,2310.44,0.3,17.98,16.7,26.01,4
45.15,-68.7,194.43,2278.0,0.31,19.36,18.66,27.23,4
48.9,-70.5,194.55,2299.5,0.31,20.66,20.28,28.78,4
50.1,-72.48,194.6,2320.35,0.28,19.54,20.0,27.11,3
45.75,-73.37,194.5,2280.0,0.3,17.48,17.32,25.16,3
46.95,-73.78,195.25,2307.93,0.29,16.14,15.13,21.38,3
50.1,-72.7,195.13,2279.5,0.29,15.19,14.44,22.25,3
61.78,-63.35,201.13,2286.16,0.24,22.47,21.87,27.32,3
59.25,-65.65,201.12,2274.28,0.24,23.25,22.73,29.15,3
55.8,-68.32,201.09,2263.72,0.24,24.32,23.8,31.24,4
46.8,-73.29,201.03,2250.68,0.24,27.03,26.31,34.27,4
43.07,-74.21,201.03,2251.14,0.24,27.87,27.02,34.41,4
38.47,-75.33,200.99,2256.4,0.24,29.34,28.08,34.23,3
36.98,-76.42,200.85,2257.56,0.23,30.0,28.41,32.96,4
38.47,-77.5,200.77,2254.32,0.23,29.42,27.58,32.59,3
39.8,-78.79,200.71,2264.0,0.23,28.33,25.6,32.57,3
38.91,-78.56,200.63,2277.32,0.23,27.25,24.15,31.27,2
37.87,-76.75,200.48,2295.2,0.23,24.54,21.99,28.36,2
38.91,-76.05,200.44,2301.52,0.23,23.53,21.32,27.86,3
40.11,-75.32,200.37,2309.4,0.23,22.61,20.64,27.52,4
43.25,-73.3,200.23,2330.36,0.23,20.87,19.25,26.67,3
46.41,-70.02,200.13,2350.52,0.23,19.4,18.02,24.37,3
51.66,-68.46,200.16,2343.16,0.23,19.01,17.88,22.95,4
58.36,-68.7,200.25,2311.5,0.24,19.01,18.31,23.41,4
61.04,-69.42,200.29,2303.9,0.24,19.1,18.51,24.2,4
61.19,-70.21,200.32,2298.1,0.24,19.19,18.75,25.01,3
55.84,-71.86,200.33,2288.02,0.24,19.51,19.33,26.23,3
51.83,-72.99,200.33,2278.5,0.24,19.95,19.91,26.66,3
47.23,-73.35,200.31,2272.9,0.24,20.24,20.19,26.74,4
36.45,-72.96,200.16,2277.0,0.22,20.72,19.6,27.14,4
38.1,-70.02,200.2,2307.96,0.22,20.34,18.56,25.23,4
42.0,-66.74,200.27,2320.38,0.22,20.17,18.43,23.18,3
48.27,-63.91,200.38,2301.6,0.23,19.53,19.21,23.39,2
49.9,-67.28,200.32,2292.78,0.23,18.99,19.34,26.94,2
60.89,-60.8,200.54,2377.94,0.22,15.05,14.27,19.78,2
68.02,-57.72,200.66,2381.06,0.22,13.77,13.25,18.98,3
70.4,-56.24,200.77,2378.28,0.22,13.48,13.13,18.19,3
89.41,-55.63,200.79,2360.38,0.22,13.0,12.89,19.2,3
85.4,-54.97,200.85,2357.0,0.23,12.18,11.99,18.82,3
77.38,-49.54,200.81,2378.76,0.24,10.72,10.58,15.65,3
82.13,-47.68,200.78,2391.5,0.25,9.71,9.46,15.05,3
82.72,-46.7,200.77,2398.94,0.24,9.45,9.22,14.36,2
80.79,-48.08,201.11,2375.04,0.24,8.69,8.92,14.29,2
78.27,-49.47,201.15,2360.72,0.23,8.38,8.57,14.72,2
84.21,-45.77,201.22,2344.36,0.24,8.0,7.98,12.41,2
93.75,-45.62,201.3,2346.26,0.25,7.71,7.9,12.93,2
88.96,-45.22,201.25,2347.2,0.26,8.02,8.14,12.97,2
88.96,-44.25,201.23,2362.78,0.25,8.12,8.35,12.79,2
85.4,-43.63,201.29,2392.82,0.25,8.18,8.4,13.75,2
94.5,-43.19,202.49,2331.98,0.25,7.23,7.74,11.24,4
91.8,-44.48,202.6,2330.54,0.25,7.64,8.26,11.98,4
83.17,-52.14,202.84,2323.86,0.25,9.82,10.41,17.87,3
72.18,-55.38,202.92,2327.28,0.25,10.7,10.69,20.01,4
66.68,-56.37,203.04,2332.4,0.25,11.02,10.51,19.72,4
59.85,-55.61,203.44,2348.56,0.24,11.13,9.56,16.11,4
61.04,-52.18,203.75,2358.42,0.24,10.52,8.8,13.5,4
84.36,-42.15,203.75,2368.0,0.26,6.16,6.52,10.89,2
90.6,-39.32,203.7,2425.8,0.29,2.57,2.84,9.82,4
74.1,-10.2,187.62,2510.4,0.31,12.07,12.7,12.47,2
73.95,-12.6,189.11,2559.41,0.32,14.08,14.47,16.78,2
76.5,-16.8,189.6,2520.79,0.36,14.01,14.54,14.68,2
66.0,-21.39,188.12,2476.14,0.37,13.76,14.41,14.41,2
54.0,-23.86,186.88,2489.05,0.3,15.73,16.17,17.74,3
79.05,-18.2,186.44,2468.03,0.31,12.71,13.25,14.26,2
79.65,-16.4,187.21,2473.52,0.31,12.08,12.7,12.88,2
82.65,-18.8,186.75,2469.5,0.33,11.96,12.76,12.7,3
81.45,-23.07,186.5,2433.66,0.35,12.75,13.34,13.78,2
73.2,-25.15,186.5,2406.44,0.32,13.7,13.96,17.66,2
75.9,-23.37,186.75,2409.9,0.32,13.57,13.82,16.02,3
96.9,-18.6,184.75,2391.06,0.33,12.14,12.54,14.14,2
171.09,-10.7,185.75,2390.06,0.34,10.52,11.23,10.92,3
42.14,37.15,205.43,2376.42,0.23,27.11,29.32,27.74,3
38.81,37.12,205.62,2345.66,0.23,30.97,33.78,33.02,3
39.85,35.6,205.56,2303.0,0.24,26.98,28.0,37.52,4
48.9,33.3,205.81,2314.0,0.24,24.38,23.28,37.87,4
55.5,18.1,205.56,2355.56,0.25,21.63,17.68,15.01,2
46.65,17.4,205.3,2391.39,0.21,23.28,23.17,18.17,2
49.2,15.9,205.04,2429.37,0.18,24.92,28.22,32.68,4
59.85,8.1,204.5,2500.52,0.13,17.13,17.29,53.79,2
60.3,13.0,204.5,2461.62,0.19,15.42,12.62,20.85,3
64.8,21.52,204.25,2436.0,0.25,13.64,12.5,11.31,2
58.05,20.91,204.25,2453.54,0.24,13.03,12.91,17.68,3
45.9,21.52,204.25,2473.23,0.21,14.6,14.6,41.52,3
40.88,28.66,204.2,2478.21,0.2,20.63,22.83,22.01,3
40.26,31.95,204.16,2451.01,0.2,26.19,27.55,21.49,2
39.32,31.63,204.09,2432.0,0.18,35.8,36.3,45.89,4
31.19,32.7,204.04,2405.97,0.19,46.7,41.47,57.52,2
32.36,34.0,204.31,2317.0,0.24,60.75,43.77,42.58,4
30.5,35.0,204.32,2249.5,0.25,56.61,44.76,37.57,4
31.51,34.6,204.59,2203.54,0.27,41.9,37.01,40.94,4
42.98,36.56,204.85,2299.5,0.25,31.55,25.77,29.59,2
56.6,39.34,205.1,2420.0,0.25,25.18,21.33,17.6,3
52.21,40.21,205.36,2387.0,0.26,20.0,18.42,18.17,4
45.0,40.81,205.39,2351.93,0.28,17.13,16.44,18.68,4
48.9,42.51,205.7,2371.87,0.28,15.56,15.28,17.76,3
56.4,41.8,205.26,2411.0,0.28,15.01,14.6,16.36,3
60.3,40.5,205.05,2420.5,0.27,14.74,13.95,15.85,4
59.25,40.8,206.06,2395.96,0.28,14.8,14.01,15.71,2
55.77,40.2,205.81,2373.74,0.3,15.07,14.53,16.29,3
55.91,43.6,204.8,2359.09,0.28,15.42,15.07,16.51,3
57.09,47.69,205.35,2367.63,0.27,15.69,15.62,18.24,4
60.07,48.59,205.41,2403.24,0.25,15.96,15.52,16.7,2
60.02,48.29,205.72,2402.09,0.28,16.08,15.22,16.01,3
60.3,48.49,205.75,2394.0,0.26,15.92,14.94,16.97,2
63.18,48.79,206.02,2383.96,0.26,15.64,14.74,16.36,2
66.82,48.99,206.04,2361.24,0.28,15.14,14.6,16.22,3
76.78,50.0,206.05,2371.25,0.28,15.14,14.6,15.78,4
95.61,50.67,206.06,2359.09,0.26,15.01,14.8,16.9,2
60.14,-37.45,249.94,1958.7,0.4,5.48,5.69,5.23,2
51.44,-41.9,296.55,2220.1,0.32,6.57,7.32,7.36,2
50.96,-48.19,227.99,2344.45,0.26,7.91,8.86,9.4,2
47.33,-57.98,201.5,2571.5,0.2,12.07,13.89,18.73,2
47.98,-59.97,200.58,2636.7,0.2,14.26,16.08,27.81,2
48.63,-65.46,200.48,2558.7,0.22,16.51,19.35,32.86,2
51.75,-73.79,201.7,2414.6,0.25,18.43,20.83,22.48,2
49.82,-74.73,202.7,2390.4,0.25,19.15,20.37,20.73,3
44.87,-73.61,203.53,2334.7,0.27,18.77,20.37,19.65,4
47.09,-67.71,203.23,2307.9,0.26,16.98,19.4,25.18,4
93.59,-49.44,200.45,2499.4,0.27,14.28,15.19,20.85,2
101.66,-42.28,203.73,2414.8,0.34,11.97,12.78,15.35,2
100.2,-47.58,204.45,2398.9,0.32,12.22,12.65,16.18,2
127.0,-45.3,201.9,2415.9,0.33,7.9,7.96,13.41,2
137.63,-34.74,224.63,2344.8,0.34,4.51,4.66,4.57,4
54.45,-6.95,234.5,2166.21,0.53,1.39,1.53,1.82,3
54.05,-12.42,228.0,2475.12,0.37,2.99,3.31,2.47,3
55.5,-15.5,228.13,2504.71,0.28,4.11,4.79,4.69,3
68.75,-21.46,230.13,2485.37,0.26,10.87,10.64,13.61,2
60.39,-23.46,229.75,2466.94,0.29,14.52,13.77,15.7,3
57.71,-25.21,229.75,2459.2,0.3,15.26,15.13,15.99,4
63.04,-26.6,228.94,2461.83,0.29,15.07,15.79,16.32,3
67.52,-28.61,228.56,2473.24,0.3,15.27,16.28,16.85,3
67.13,-32.25,226.25,2457.83,0.29,15.37,16.23,17.74,4
64.62,-37.75,229.0,2422.21,0.3,16.17,16.93,17.99,3
66.71,-39.5,227.88,2410.39,0.3,17.84,18.26,21.31,4
71.31,-39.0,227.88,2402.38,0.3,18.43,18.59,21.73,4
62.93,-38.0,228.5,2378.55,0.3,19.07,19.31,21.47,4
54.2,-37.85,228.56,2370.68,0.3,19.9,19.27,21.93,4
52.91,-38.74,227.63,2363.01,0.29,20.1,19.79,22.13,4
54.87,-40.0,226.5,2350.77,0.29,20.54,20.22,23.35,3
55.26,-41.9,226.25,2351.91,0.31,20.26,20.1,23.34,4
55.19,-42.79,226.25,2353.19,0.32,20.13,19.95,22.59,4
52.48,-44.29,226.94,2350.95,0.3,20.1,19.53,21.7,3
46.5,-46.07,227.0,2323.77,0.3,20.09,19.08,19.24,3
44.21,-45.32,227.0,2310.01,0.32,20.09,19.71,19.67,4
41.34,-44.57,226.88,2318.88,0.32,19.73,20.33,20.89,3
39.8,-42.95,221.56,2338.65,0.31,19.65,20.16,24.09,4
42.38,-42.81,225.94,2342.35,0.31,19.07,18.94,20.05,4
41.96,-43.04,224.94,2336.36,0.32,18.95,19.21,19.63,4
41.82,-42.68,225.25,2339.35,0.32,19.12,19.72,20.87,4
41.43,-42.32,225.25,2345.73,0.32,19.35,20.06,21.61,3
42.31,-40.57,224.63,2353.95,0.32,19.24,21.02,24.04,4
43.19,-38.82,224.0,2362.16,0.32,19.14,21.99,26.46,4
43.22,-38.2,223.5,2369.44,0.32,19.07,21.59,27.25,4
46.16,-36.82,225.13,2382.41,0.3,19.19,20.55,26.88,4
54.11,-34.43,227.75,2384.71,0.32,18.87,19.32,21.7,4
64.98,-24.77,229.19,2556.31,0.33,13.51,14.85,16.77,4
51.41,-66.38,212.1,2395.59,0.26,17.33,18.31,20.95,3
56.15,-64.86,212.1,2394.97,0.26,16.09,16.79,18.41,3
56.96,-63.72,212.1,2402.66,0.26,15.38,16.18,17.28,3
58.98,-56.72,212.1,2425.57,0.27,13.57,13.82,17.86,2
60.96,-51.02,212.1,2436.55,0.28,13.15,12.82,14.35,3
52.8,-53.0,212.1,2420.78,0.25,14.31,14.51,19.79,3
54.23,-61.76,212.1,2401.46,0.28,14.4,13.79,17.09,3
62.09,-71.13,212.1,2401.8,0.27,15.02,13.49,14.39,3
46.22,-71.57,212.1,2268.86,0.26,27.44,26.44,30.56,4
32.0,-65.09,212.1,2302.03,0.26,42.69,40.93,78.44,4
32.84,-63.57,212.1,2343.44,0.25,58.86,46.93,70.96,4
33.9,-63.11,212.1,2253.5,0.25,67.96,49.58,62.77,4
31.7,-62.72,212.1,2158.7,0.28,77.52,62.32,68.71,4
32.31,-62.47,212.1,2136.24,0.31,78.17,71.23,82.99,4
32.01,-61.44,212.1,2302.97,0.27,59.3,51.27,77.88,4
28.64,-58.79,212.1,2241.43,0.25,45.86,38.6,45.61,3
27.77,-57.69,212.1,2214.8,0.29,50.84,47.1,92.6,4
26.43,-57.19,212.1,2205.29,0.3,55.09,53.44,142.37,4
21.8,-55.33,212.1,2177.72,0.3,83.54,69.97,145.91,4
20.88,-53.94,212.1,2159.81,0.31,103.91,83.43,110.38,4
23.81,-53.44,212.1,2153.88,0.32,107.21,87.3,112.37,4
31.25,-52.91,212.1,2202.46,0.3,84.85,90.0,96.88,4
35.78,-52.55,212.1,2232.84,0.3,75.2,80.81,89.94,4
56.87,-47.71,212.1,2432.82,0.3,36.46,32.94,40.09,4
69.02,-44.47,212.1,2449.24,0.3,27.15,23.43,25.72,3
65.75,-38.69,212.1,2434.48,0.3,19.71,17.07,16.73,4
64.91,-37.94,212.1,2438.59,0.29,17.66,15.64,14.74,4
65.87,-38.94,212.1,2442.7,0.29,16.08,14.68,14.85,4
69.24,-36.97,212.1,2440.33,0.3,14.24,13.36,15.05,4
63.86,-36.0,212.1,2428.63,0.28,14.22,13.06,14.07,4
64.52,-35.75,212.1,2420.83,0.3,14.07,13.32,13.85,4
66.9,-35.75,212.1,2415.1,0.3,14.28,13.48,13.95,3
71.31,-35.5,213.11,2404.29,0.3,14.65,13.81,14.69,3
70.8,-35.4,214.13,2384.54,0.3,15.26,14.34,15.03,3
60.26,-36.04,214.13,2356.37,0.3,16.35,15.45,15.63,4
55.01,-36.82,214.13,2343.97,0.28,17.16,16.14,17.86,3
51.44,-36.7,214.13,2329.52,0.3,18.39,17.63,19.95,4
50.52,-36.42,214.13,2332.05,0.3,18.65,18.16,19.83,4
54.22,-35.82,214.13,2335.53,0.29,19.14,17.76,20.83,4
51.35,-34.82,214.13,2322.47,0.3,18.72,17.53,17.71,4
53.29,-35.5,216.13,2317.8,0.29,18.32,17.6,18.48,4
55.74,-35.5,216.13,2316.86,0.3,18.44,17.23,20.0,4
56.75,-34.25,216.13,2324.63,0.3,17.84,17.28,18.93,4
59.87,-33.75,216.13,2333.5,0.3,17.49,16.91,18.89,4
80.43,-33.5,216.13,2345.72,0.3,16.91,16.14,18.63,3
88.37,-32.75,216.13,2349.43,0.3,16.93,15.68,17.37,4
84.38,-32.35,216.13,2341.47,0.3,16.45,15.92,16.09,4
68.06,-32.46,216.13,2336.7,0.29,16.18,15.85,18.07,4
68.43,-31.81,216.13,2333.08,0.28,15.54,15.4,18.46,4
69.24,-30.55,216.13,2330.4,0.28,14.93,14.66,16.97,4
80.06,-23.84,216.13,2331.52,0.32,11.99,11.31,10.94,4
72.99,-25.35,216.13,2322.21,0.34,11.1,10.79,11.44,3
68.28,-25.3,216.13,2333.35,0.32,10.7,10.69,12.83,4
71.31,-23.82,216.13,2337.6,0.34,10.16,10.32,12.87,4
59.11,-65.94,198.02,2439.1,0.31,10.42,11.26,11.73,2
57.03,-70.7,195.55,2433.1,0.3,10.76,11.47,12.91,2
51.98,-73.6,198.76,2427.1,0.29,11.06,11.89,15.56,2
45.3,-82.08,198.27,2421.1,0.29,11.41,12.39,16.74,4
42.0,-84.26,196.29,2377.9,0.3,12.11,12.79,14.4,3
40.5,-84.95,194.55,2329.9,0.32,12.91,13.64,15.85,3
38.25,-85.94,193.56,2265.4,0.32,14.14,14.94,22.75,4
38.25,-86.73,193.07,2283.6,0.32,15.07,15.92,26.86,4
40.48,-88.42,191.57,2292.6,0.32,16.45,17.06,26.99,4
39.87,-89.51,189.57,2281.8,0.32,17.15,17.39,26.02,3
39.95,-91.68,192.0,2298.9,0.33,19.45,17.83,26.77,2
40.25,-92.08,192.24,2293.2,0.33,19.91,17.83,26.89,2
42.18,-90.59,192.95,2280.6,0.32,20.74,18.58,26.65,2
46.5,-87.82,193.91,2268.0,0.32,21.51,19.46,28.02,2
50.25,-86.04,193.9,2261.7,0.31,22.01,19.91,30.0,3
53.55,-83.17,193.13,2257.4,0.31,22.41,20.28,32.29,3
63.86,-73.4,195.8,2338.6,0.31,22.41,21.42,38.4,3
65.64,-69.41,194.06,2395.3,0.31,22.21,20.84,36.01,2
64.75,-68.91,194.31,2386.2,0.32,21.91,20.09,31.98,3
63.71,-69.11,194.31,2376.0,0.32,20.93,19.37,27.39,2
61.34,-73.2,194.06,2345.4,0.33,18.58,17.51,18.93,2
55.65,-77.3,194.06,2314.8,0.33,16.8,15.75,16.95,2
56.7,-75.3,192.33,2294.4,0.32,15.75,14.84,16.72,4
63.42,-67.62,195.3,2308.2,0.32,15.12,14.31,19.28,4
72.62,-60.5,196.04,2362.8,0.31,14.98,13.98,23.56,3
80.05,-56.63,197.03,2417.4,0.31,14.84,13.66,28.93,3
79.31,-52.57,197.28,2499.3,0.32,13.79,13.54,19.37,3
73.66,-53.37,196.29,2491.1,0.33,12.81,13.54,14.31,3
64.31,-62.77,196.29,2455.7,0.33,12.24,13.48,14.57,3
54.0,-74.0,196.29,2420.3,0.34,12.7,13.48,13.66,2
45.75,-80.69,193.81,2384.9,0.33,12.7,13.42,10.91,3
45.75,-82.28,193.81,2349.5,0.33,12.7,13.42,12.58,4
52.35,-83.47,193.29,2225.0,0.33,12.93,13.66,21.81,3
58.2,-85.05,193.53,2336.7,0.34,13.05,13.79,23.78,2
62.82,-85.94,192.02,2364.1,0.35,13.23,13.98,20.84,2
66.09,-83.96,194.0,2376.8,0.35,13.42,14.18,20.65,2
68.16,-81.49,193.47,2371.6,0.34,13.41,14.17,21.03,2
80.5,-73.9,192.17,2363.0,0.33,13.4,14.16,22.31,2
102.62,-64.06,193.36,2404.0,0.31,13.2,14.09,22.41,2
124.02,-52.97,197.03,2449.6,0.31,11.98,12.83,18.92,2
135.93,-46.63,197.03,2480.0,0.33,11.12,11.98,15.09,2
146.82,-39.21,197.03,2484.0,0.36,10.09,10.82,12.14,2
124.15,-32.67,198.27,2461.2,0.4,8.84,9.47,9.95,2
91.34,-29.12,198.02,2447.2,0.47,7.47,8.0,9.91,2
55.86,-19.8,208.91,2306.27,0.4,3.06,3.14,3.17,2
53.47,-26.5,198.0,2398.41,0.32,4.36,4.48,9.6,2
52.75,-29.7,193.25,2410.95,0.25,6.68,6.87,19.13,2
53.17,-32.1,193.25,2419.7,0.25,10.72,11.02,24.19,2
51.26,-34.2,193.5,2426.27,0.26,14.41,14.74,23.08,2
50.06,-35.2,193.74,2430.25,0.25,16.7,16.78,25.3,3
49.7,-36.8,192.71,2452.54,0.24,20.47,21.33,24.38,2
51.5,-40.1,190.93,2480.6,0.23,22.34,27.11,27.23,4
48.8,-45.38,189.4,2450.55,0.22,24.38,34.48,63.46,3
43.06,-51.37,188.63,2421.89,0.22,26.49,43.42,104.73,3
39.53,-56.24,188.61,2387.46,0.22,30.42,53.38,119.75,3
40.67,-59.51,189.36,2358.61,0.22,35.13,58.07,117.01,3
44.68,-61.4,188.86,2334.33,0.24,40.55,62.29,107.18,2
41.57,-62.5,189.36,2263.09,0.28,46.91,98.18,163.2,4
36.07,-62.3,189.34,2231.24,0.29,53.38,121.98,256.5,3
33.55,-62.3,190.31,2250.55,0.29,61.99,151.57,387.42,4
34.39,-62.1,190.29,2253.93,0.29,67.75,167.79,420.99,4
34.99,-61.9,189.76,2249.95,0.28,68.7,141.42,294.52,3
34.93,-61.1,189.5,2250.95,0.28,67.12,111.21,184.89,4
34.81,-60.7,189.75,2255.52,0.29,64.66,97.29,134.41,4
33.61,-60.4,190.25,2251.94,0.29,59.72,89.59,124.83,3
32.54,-59.41,189.0,2236.22,0.3,54.64,76.75,118.65,4
32.84,-57.82,187.75,2232.24,0.3,54.14,66.18,96.84,4
32.72,-56.04,187.25,2240.6,0.31,53.38,71.28,78.88,2
32.12,-54.17,187.5,2240.6,0.31,52.87,73.92,74.61,2
31.64,-51.99,187.75,2219.1,0.31,50.0,75.96,74.23,4
32.72,-48.11,188.75,2184.88,0.3,44.16,66.66,89.59,3
35.23,-46.32,189.25,2204.38,0.29,38.09,56.11,88.76,4
45.63,-41.46,190.0,2292.54,0.27,30.6,39.31,60.07,4
57.9,-37.5,191.0,2448.56,0.26,25.54,26.25,36.46,2
70.22,-33.4,191.97,2500.5,0.27,21.24,21.83,21.04,2
75.0,-30.2,191.67,2440.0,0.3,16.33,16.79,14.96,2
72.61,-31.0,191.13,2449.55,0.33,14.82,15.23,16.78,2
73.8,-30.7,190.85,2460.9,0.33,13.95,14.34,18.4,2
75.6,-29.11,191.09,2438.41,0.32,13.44,13.82,17.57,2
77.27,-28.12,192.08,2426.07,0.31,13.26,13.63,16.55,3
79.96,-27.13,193.32,2406.57,0.31,13.01,13.38,14.74,3
79.07,-26.63,194.31,2393.63,0.31,12.89,13.26,14.74,3
82.36,-25.35,194.54,2405.97,0.31,12.66,13.01,14.41,3
89.41,-24.55,194.03,2400.6,0.3,12.83,13.2,13.88,2
86.72,-25.05,193.02,2387.07,0.31,13.07,13.44,14.14,3
79.96,-25.94,190.0,2352.44,0.33,12.95,13.32,16.47,3
79.49,-25.64,190.5,2335.92,0.33,12.83,13.2,16.4,3
86.42,-22.18,192.5,2367.76,0.34,12.6,12.95,14.81,3
88.64,-18.4,195.25,2372.34,0.35,11.59,11.92,12.14,2
52.28,-25.5,195.5,2408.32,0.3,5.92,6.87,8.6,2
42.45,-48.08,196.0,2509.5,0.18,13.33,18.26,45.56,3
41.09,-53.76,196.24,2489.09,0.19,15.35,23.49,56.28,2
38.83,-58.81,196.44,2440.93,0.21,17.66,27.08,52.51,2
44.46,-60.3,195.37,2368.67,0.25,20.78,33.84,48.7,3
45.92,-60.3,194.58,2337.0,0.25,21.54,35.71,57.1,4
40.7,-60.5,193.33,2305.0,0.24,22.34,37.52,66.79,4
37.3,-60.2,193.36,2278.5,0.24,23.07,38.22,76.66,3
36.27,-59.4,194.64,2293.5,0.25,22.97,36.68,67.02,4
39.27,-58.2,196.68,2318.5,0.26,22.24,34.25,58.38,2
42.73,-56.3,198.72,2318.5,0.26,21.63,31.98,51.62,2
48.56,-51.2,198.5,2318.5,0.27,17.93,23.94,45.56,3
74.75,-30.9,209.66,2424.04,0.17,8.79,8.39,7.78,2
62.88,-37.2,209.66,2416.56,0.21,9.47,9.08,7.96,2
27.89,-54.75,209.92,2276.0,0.27,10.71,10.71,10.57,3
24.98,-58.18,209.43,2206.6,0.25,11.8,11.53,11.8,4
41.74,-57.98,209.18,2229.06,0.22,13.05,12.41,13.11,4
47.12,-58.38,208.44,2283.5,0.19,15.19,13.42,14.24,4
41.68,-51.82,207.95,2292.0,0.13,15.33,13.66,13.42,4
47.51,-43.5,207.71,2371.6,0.09,15.19,14.11,13.66,4
51.35,-49.2,207.72,2518.0,0.16,16.57,15.9,16.27,4
32.83,-53.23,207.73,2417.85,0.21,20.19,17.83,16.19,3
22.95,-60.7,207.98,2321.5,0.26,21.33,20.37,20.94,2
19.97,-62.0,208.23,2260.0,0.26,21.93,21.43,22.75,2
19.23,-61.2,206.99,2219.76,0.22,21.73,20.56,20.75,4
19.51,-58.69,206.99,2223.73,0.18,21.33,19.55,18.41,4
22.36,-48.8,207.5,2275.0,0.14,19.19,18.0,16.34,4
30.6,-40.41,208.0,2377.78,0.11,16.65,16.42,15.75,2
26.54,-56.1,208.25,2401.5,0.17,13.23,12.7,12.93,2
30.06,-54.3,208.25,2349.0,0.12,11.91,11.74,12.3,2
48.96,20.35,203.4,2202.03,0.3,3.15,3.29,5.73,2
40.35,19.07,200.6,2481.05,0.27,3.77,4.18,6.53,2
45.75,17.39,200.75,2412.94,0.3,4.15,4.39,5.51,2
64.24,13.16,211.63,2302.63,0.35,4.59,4.81,5.62,2
64.62,6.47,201.75,2339.35,0.33,5.22,5.33,6.13,2
59.52,3.99,205.48,2363.12,0.31,6.19,6.14,6.75,2
56.07,-0.3,202.45,2368.14,0.3,6.97,6.86,7.52,2
54.27,-11.51,196.57,2372.32,0.29,8.47,8.31,9.3,2
53.76,-22.58,195.38,2368.8,0.29,9.84,9.84,10.76,2
49.75,-26.24,195.59,2363.84,0.28,10.95,11.08,12.03,2
42.89,-31.93,196.22,2341.7,0.27,12.62,13.83,14.64,3
36.08,-42.51,197.07,2306.61,0.27,14.54,17.25,19.7,4
35.42,-34.24,197.9,2282.64,0.25,15.97,18.7,21.8,4
45.52,-33.05,197.92,2415.68,0.25,13.35,13.69,13.93,2
52.4,-40.25,198.0,2434.8,0.26,12.72,13.18,13.16,2
59.7,-33.19,197.71,2359.52,0.27,13.62,14.07,14.45,2
58.83,-25.58,197.34,2321.9,0.28,15.36,15.74,17.42,2
65.35,-25.61,196.4,2333.75,0.26,17.05,17.37,20.8,4
74.67,-27.46,196.53,2376.14,0.27,15.45,14.45,15.56,2
31.63,-17.5,201.98,2429.5,0.49,2.59,2.86,2.47,2
35.2,-23.58,200.5,2405.5,0.35,3.31,3.98,5.09,2
38.32,-26.56,200.5,2387.13,0.31,3.93,4.59,6.97,4
41.44,-29.56,200.5,2387.13,0.28,4.86,5.39,9.55,4
47.1,-31.58,200.75,2567.0,0.21,10.05,9.47,12.72,2
48.6,-40.9,201.98,2499.0,0.23,14.11,16.41,18.11,2
45.15,-50.7,198.25,2448.5,0.26,13.33,15.21,19.72,3
39.95,-55.9,198.25,2366.83,0.28,12.96,14.65,25.3,3
40.25,-57.7,198.25,2335.0,0.29,12.54,13.98,26.37,4
42.48,-56.7,198.25,2378.71,0.3,12.08,13.4,21.93,4
42.18,-54.4,198.25,2418.5,0.31,11.79,12.66,18.11,2
45.9,-53.0,198.25,2433.5,0.32,11.63,12.42,15.95,3
49.05,-50.5,195.5,2402.5,0.33,11.25,11.96,12.54,3
39.95,-77.0,199.25,2334.0,0.33,10.84,11.41,16.18,3
38.76,-71.3,199.25,2319.0,0.33,11.04,11.52,17.53,2
36.39,-67.82,199.26,2332.0,0.34,11.41,12.02,18.72,3
38.76,-64.26,199.26,2375.74,0.33,11.79,12.6,19.26,3
42.04,-61.98,199.51,2397.53,0.33,11.96,12.9,19.35,3
44.58,-59.6,200.0,2412.0,0.34,11.96,13.15,20.19,3
48.48,-56.1,200.5,2434.0,0.34,11.96,13.46,21.43,4
95.25,-26.24,215.25,2430.5,0.34,8.04,9.04,8.0,2
98.85,-24.36,226.49,2392.08,0.34,6.56,7.1,7.56,2
126.9,-22.08,244.8,2394.55,0.36,5.83,6.35,6.81,2
88.05,-20.59,237.87,2398.52,0.38,5.44,5.94,6.0,2
73.96,-19.7,255.5,2296.0,0.38,5.09,5.52,5.75,2
73.66,-19.7,251.25,2301.0,0.39,5.05,5.44,5.86,2
73.37,-19.8,248.52,2398.52,0.39,4.98,5.36,6.0,3
72.64,-19.7,279.95,2420.5,0.4,4.61,5.09,5.14,2
74.52,-18.91,275.0,2346.5,0.41,4.42,4.68,5.29,2
74.7,-19.6,285.44,2318.5,0.42,4.22,4.51,4.84,2
74.24,-17.1,253.75,2344.0,0.45,2.91,3.3,4.03,2
